morbidity,diseaseId,diseaseName,specificDiseaseId,specificDiseaseName,therapeuticAreas,description
heart disease,EFO_0003777,heart disease,EFO_0001425,ischemic cardiomyopathy,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",Ischemic cardiomyopathy is a cardiomyopathy in which a weakness in the muscle of the heart due to inadequate oxygen delivery to the myocardium with coronary artery disease being the most common cause.
heart disease,EFO_0003777,heart disease,EFO_0002630,restrictive cardiomyopathy,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']","A type of heart disorder referring to the inability of the ventricles to fill with blood because the myocardium (heart muscle) stiffens and looses its flexibility. Causes include replacement of the myocardium with scar tissue, abnormal cellular infiltration of the myocardium, or deposition of a substance (e.g., amyloid) in the myocardium."
heart disease,EFO_0003777,heart disease,EFO_0009142,autosomal dominant dilated cardiomyopathy,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']","Dilated cardiomyopathy, characterized by dilation and contractile dysfunction of the left and right ventricles, with an autosomal dominant pattern of inheritance."
heart disease,EFO_0003777,heart disease,MONDO_0054591,Stankiewicz-Isidor syndrome,"['OTAR_0000010', 'EFO_0010285', 'EFO_0000319']",
heart disease,EFO_0003777,heart disease,EFO_0002629,viral cardiomyopathy,"['OTAR_0000006', 'EFO_0005741', 'OTAR_0000010', 'EFO_0000319']","Viral cardiomyopathy occurs when viral infections cause myocarditis with a resulting thickening of the myocardium and dilation of the ventricles. These viruses include Coxsackie B and adenovirus, echoviruses, influenza H1N1, Epstein-Barr virus, rubella (German measles virus), varicella (chickenpox virus), mumps, measles, parvoviruses, yellow fever, dengue fever, polio, rabies and the viruses that cause hepatitis A and C"
heart disease,EFO_0003777,heart disease,EFO_1001400,Pneumopericardium,"['OTAR_0000010', 'EFO_0000319']",Presence of air or gas in the space between the heart and the PERICARDIUM. The degree of respiratory distress depends on the amount of trapped air and circulation blocked in the systemic and pulmonary veins.
heart disease,EFO_0003777,heart disease,EFO_1001781,Commotio Cordis,"['OTAR_0000010', 'EFO_0000319']","A sudden CARDIAC ARRHYTHMIA (e.g., VENTRICULAR FIBRILLATION) caused by a blunt, non-penetrating impact to the precordial region of chest wall. Commotio cordis often results in sudden death without prompt cardiopulmonary defibrillation."
heart disease,EFO_0003777,heart disease,EFO_1001771,cardiac edema,"['OTAR_0000010', 'EFO_0000319']","Abnormal fluid retention by the body due to impaired cardiac function or heart failure. It is usually characterized by increase in venous and capillary pressure, and swollen legs when standing. It is different from the generalized edema caused by renal dysfunction (NEPHROTIC SYNDROME)."
heart disease,EFO_0003777,heart disease,MONDO_0000474,pericardium disease,"['OTAR_0000010', 'EFO_0000319']",A disease involving the pericardium.
heart disease,EFO_0003777,heart disease,MONDO_0000591,intrinsic cardiomyopathy,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",A cardiomyopathy that is due to abnormalities in heart muscle cells.
heart disease,EFO_0003777,heart disease,MONDO_0000470,endocardium disease,"['OTAR_0000010', 'EFO_0000319']",A disease involving the endocardium.
heart disease,EFO_0003777,heart disease,EFO_0000465,endocarditis,"['OTAR_0000010', 'EFO_0000319']",Inflammation of the endocardium.
heart disease,EFO_0003777,heart disease,MONDO_0000469,sinoatrial node disease,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",A disease involving the sinoatrial node.
heart disease,EFO_0003777,heart disease,MONDO_0024636,inflammation of heart layer,"['OTAR_0000010', 'EFO_0000319']",An inflammatory disease involving a pathogenic inflammatory response in the heart layer.
heart disease,EFO_0003777,heart disease,EFO_1001432,"Tachycardia, Reciprocating","['OTAR_0000010', 'EFO_0000319']","Abnormally rapid heartbeats caused by reentrant conduction over the accessory pathways between the HEART ATRIA and the HEART VENTRICLES. The impulse can also travel in the reverse direction, as in some cases, atrial impulses travel to the ventricles over the accessory pathways and back to the atria over the BUNDLE OF HIS and the ATRIOVENTRICULAR NODE."
heart disease,EFO_0003777,heart disease,MONDO_0001302,hypertensive heart disease,"['OTAR_0000010', 'EFO_0000319']",Abnormal enlargement of the heart resulting from long-standing hypertension.
heart disease,EFO_0003777,heart disease,EFO_0000373,congestive heart failure,"['OTAR_0000010', 'EFO_0000319']","Heart failure accompanied by EDEMA, such as swelling of the legs and ankles and congestion in the lungs."
heart disease,EFO_0003777,heart disease,MONDO_0024643,myocardial disorder,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']","A disorder that affects the muscle tissue of the heart. Representative examples include myocardial infarction, myocarditis, and cardiomyopathy."
heart disease,EFO_0003777,heart disease,EFO_1001207,systolic heart failure,"['OTAR_0000010', 'EFO_0000319']",Heart failure caused by abnormal myocardial contraction during systole leading to defective cardiac emptying.
heart disease,EFO_0003777,heart disease,EFO_1001448,Ventricular Outflow Obstruction,"['OTAR_0000010', 'EFO_0000319']","Occlusion of the outflow tract in either the LEFT VENTRICLE or the RIGHT VENTRICLE of the heart. This may result from CONGENITAL HEART DEFECTS, predisposing heart diseases, complications of surgery, or HEART NEOPLASMS."
heart disease,EFO_0003777,heart disease,EFO_1001442,cardiac tuberculosis,"['EFO_0005741', 'OTAR_0000010', 'EFO_0000319']",Pathological conditions of the cardiovascular system caused by infection of mycobacterium tuberculosis. Tuberculosis involvement may include the heart; the blood vessels; or the pericardium.
heart disease,EFO_0003777,heart disease,EFO_0009531,aortic valve disease,"['OTAR_0000010', 'EFO_0000319']",A disease involving the aortic valve.
heart disease,EFO_0003777,heart disease,MONDO_0000565,infective endocarditis,"['EFO_0005741', 'OTAR_0000010', 'EFO_0000319']","Infective endocarditis (IE) is an infection of the inner lining of the heart chambers (endocardium) and valves. This condition is sometimes called 'endocarditis,' although it is important to distinguish it from non-infective endocarditis. IE is caused bybacteria, fungi, or other germs invading the bloodstream and attaching to the heart. IE can damagethe heart and cause serious and sometimes fatal complications. It can develop quickly or slowly depending on what type of germ is causing it and whether there is an underlying heart problem. Common symptoms of IE are fever and other flu-like symptoms, but signs and symptoms can vary. It can also cause problems in many other parts of the body besides the heart. IE is typically treated with antibiotics for several weeks; some individuals may need heart surgery to repair or replace heart valves or remove infected heart tissue."
heart disease,EFO_0003777,heart disease,EFO_1001458,diabetic cardiomyopathy,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']","Diabetic cardiomyopathy is a disorder of the heart muscle in people with diabetes. It can lead to inability of the heart to circulate blood through the body effectively, a state known as heart failure, with accumulation of fluid in the lungs (pulmonary edema) or legs (peripheral edema). Most heart failure in people with diabetes results from coronary artery disease, and diabetic cardiomyopathy is only said to exist if there is no coronary artery disease to explain the heart muscle disorder."
heart disease,EFO_0003777,heart disease,EFO_1001473,Non-familial restrictive cardiomyopathy,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",a restrictive cardiomyopathy not inherited through genetics
heart disease,EFO_0003777,heart disease,EFO_0009881,nonischemic cardiomyopathy,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",Forms of cardiomyopathy that are not related to known coronary artery disease.
heart disease,EFO_0003777,heart disease,EFO_1000013,Prinzmetal's angina,"['OTAR_0000010', 'EFO_0000319']","a syndrome typically consisting of angina (cardiac chest pain) at rest that occurs in cycles. It is caused by vasospasm, a narrowing of the coronary arteries caused by contraction of the smooth muscle tissue in the vessel walls rather than directly by atherosclerosis (buildup of fatty plaque and hardening of the arteries)."
heart disease,EFO_0003777,heart disease,EFO_0008585,ST Elevation Myocardial Infarction,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",A myocardial infarction that produces elevation in the ST segments of the ECG. [ NCI ]
heart disease,EFO_0003777,heart disease,EFO_1001482,cardiotoxicity,"['OTAR_0000010', 'OTAR_0000009', 'EFO_0000319']",Toxicity that impairs or damages the heart. This condition is often caused by the administration of a pharmaceutical agent that initiates a poisonous or toxic response in cardiac tissue.
heart disease,EFO_0003777,heart disease,EFO_0008584,Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",
heart disease,EFO_0003777,heart disease,EFO_1001483,non-obstructive coronary artery disease,"['OTAR_0000010', 'EFO_0000319']",Coronary disease that has not progressed to the point of causing significant occlusion (blockage) of the coronary arteries.
heart disease,EFO_0003777,heart disease,EFO_0008586,Non-ST Elevation Myocardial Infarction,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",An electrocardiographic finding of a myocardial infarction that does not produce elevations in the ST segment of the EKG. [ NCI ]
heart disease,EFO_0003777,heart disease,EFO_0009557,mitral valve disease,"['OTAR_0000010', 'EFO_0000319']",A disease involving the mitral valve.
heart disease,EFO_0003777,heart disease,EFO_0009551,heart valve disease,"['OTAR_0000010', 'EFO_0000319']",A disease involving the cardial valve.
heart disease,EFO_0003777,heart disease,EFO_0007372,mitral valve stenosis,"['OTAR_0000010', 'EFO_0000319']",Narrowing of the left atrioventricular mitral orifice.
heart disease,EFO_0003777,heart disease,EFO_0008583,acute myocardial infarction,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']","Necrosis of the myocardium, as a result of interruption of the blood supply to the area. It is characterized by a severe and rapid onset of symptoms that may include chest pain, often radiating to the left arm and left side of the neck, dyspnea, sweating, and palpitations. [ NCI ]"
heart disease,EFO_0003777,heart disease,EFO_0007251,endocardial fibroelastosis,"['OTAR_0000010', 'EFO_0000319']","Endomyocardial fibroelastosis is a cause of unexplained childhood cardiac insufficiency. It results from diffuse thickening of the endocardium leading to dilated myocardiopathy in the majority of cases and restrictive myocardiopathy in rare cases. It may occur as a primary disorder or may be secondary to another cardiac malformation, notably aortic stenosis or atresia."
heart disease,EFO_0003777,heart disease,EFO_0000612,myocardial infarction,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",NECROSIS of the MYOCARDIUM caused by an obstruction of the blood supply to the heart (CORONARY CIRCULATION).
heart disease,EFO_0003777,heart disease,MONDO_0001999,primary pulmonary hypertension,"['OTAR_0000010', 'EFO_0000319']",Increased blood pressure in the arteries of the lungs; the etiology is unknown.
heart disease,EFO_0003777,heart disease,EFO_1001493,cardiac embolism,"['OTAR_0000010', 'EFO_0000319']",an embolism that is a result of an obstruction in a cardiac vessel due to a blood clot or other foreign matters
heart disease,EFO_0003777,heart disease,MONDO_0100080,cardioectodermal syndrome,"['OTAR_0000010', 'EFO_0010285', 'EFO_0000319']","Cardioectodermal syndromes are those in which phenotypic manifestations occur in the heart, skin, and/or hair. Variation in the genes of interest may occur in both an autosomal dominant inheritance pattern, or in an autosomal recessive inheritance pattern which may result in an earlier and/or more severe phenotypic presentation."
heart disease,EFO_0003777,heart disease,MONDO_0045001,cardiac ventricle disease,"['OTAR_0000010', 'EFO_0000319']",A disease or disorder that involves the cardiac ventricle.
heart disease,EFO_0003777,heart disease,EFO_1001137,pulmonary subvalvular stenosis,"['OTAR_0000010', 'EFO_0000319']","The obstruction of the right ventricular outflow tract that originates within the body of the right ventricle, that exists at the time of birth; it often occurs in association with other intracardiac anomalies."
heart disease,EFO_0003777,heart disease,EFO_1001138,pulmonary valve stenosis,"['OTAR_0000010', 'EFO_0000319']","The pathologic narrowing of the orifice of the pulmonary valve. This lesion restricts blood outflow from the right ventricle to the pulmonary artery. When the trileaflet valve is fused into an imperforate membrane, the blockage is complete."
heart disease,EFO_0003777,heart disease,MONDO_0002824,extrinsic cardiomyopathy,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",A cardiomyopathy that is not due to abnormalities in heart muscle cells.
heart disease,EFO_0003777,heart disease,EFO_1001375,Myocardial Ischemia,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']","A disorder of cardiac function caused by insufficient blood flow to the muscle tissue of the heart. The decreased blood flow may be due to narrowing of the coronary arteries (coronary artery disease), to obstruction by a thrombus (coronary thrombosis), or less commonly, to diffuse narrowing of arterioles and other small vessels within the heart. Severe interruption of the blood supply to the myocardial tissue may result in necrosis of cardiac muscle (myocardial infarction)."
heart disease,EFO_0003777,heart disease,EFO_1001497,cardiac conduction defect,"['OTAR_0000010', 'EFO_0000319']",heart rhythm disturbance where the heart’selectrical impulses are conducted very slowly.
heart disease,EFO_0003777,heart disease,EFO_0009564,pulmonary valve disease,"['OTAR_0000010', 'EFO_0000319']",A disease involving the pulmonary valve.
heart disease,EFO_0003777,heart disease,EFO_1002000,Takotsubo cardiomyopathy,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']","Transient left ventricular apical ballooning syndrome or takotsubo cardiomyopathy is characterized by transient regional systolic dysfunction involving the left ventricular apex and/or mid-ventricle in the absence of obstructive coronary disease on coronary angiography. Patients present with an abrupt onset of angina-like chest pain, and have diffuse T-wave inversion, sometimes preceded by ST-segment elevation, and mild cardiac enzyme elevation."
heart disease,EFO_0003777,heart disease,MONDO_0000992,heart conduction disease,"['OTAR_0000010', 'EFO_0000319']",A disease that has its basis in the disruption of the heart's electrical conduction system.
heart disease,EFO_0003777,heart disease,EFO_0009568,tricuspid valve disease,"['OTAR_0000010', 'EFO_0000319']",A disease involving the tricuspid valve.
heart disease,EFO_0003777,heart disease,EFO_0007148,aortic valve insufficiency,"['OTAR_0000010', 'EFO_0000319']",Dysfunction of the aortic valve characterized by incomplete valve closure.
heart disease,EFO_0003777,heart disease,MONDO_0007263,cardiac rhythm disease,"['OTAR_0000010', 'EFO_0000319']",Any variation from the normal rate or rhythm (which may include the origin of the impulse and/or its subsequent propagation) in the heart.
heart disease,EFO_0003777,heart disease,EFO_0007298,hemopericardium,"['OTAR_0000010', 'EFO_0000319']",An accumulation of blood within the pericardial sac.
heart disease,EFO_0003777,heart disease,EFO_1001285,Cardiac Tamponade,"['OTAR_0000010', 'EFO_0000319']",Compression of the heart by accumulated fluid (PERICARDIAL EFFUSION) or blood (HEMOPERICARDIUM) in the PERICARDIUM surrounding the heart. The affected cardiac functions and CARDIAC OUTPUT can range from minimal to total hemodynamic collapse.
heart disease,EFO_0003777,heart disease,EFO_1001161,rheumatic heart disease,"['OTAR_0000010', 'EFO_0000319']","An autoinflammatory condition following an infection with Group A Beta Hemolytic Streptococcus (GABHS), in which the heart is attacked by antibodies formed in reaction to a recent GABHS infection. Chief anatomic changes of the valve include leaflet thickening, commissural fusion, and shortening and thickening of the tendinous cords, all of which can result in valvular dysfunction."
heart disease,EFO_0003777,heart disease,EFO_0000538,hypertrophic cardiomyopathy,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']","A form of CARDIAC MUSCLE disease, characterized by left and/or right ventricular hypertrophy (HYPERTROPHY, LEFT VENTRICULAR; HYPERTROPHY, RIGHT VENTRICULAR), frequent asymmetrical involvement of the HEART SEPTUM, and normal or reduced left ventricular volume. Risk factors include HYPERTENSION; AORTIC STENOSIS; and gene MUTATION; (FAMILIAL HYPERTROPHIC CARDIOMYOPATHY)."
heart disease,EFO_0003777,heart disease,EFO_1001297,Coronary-Subclavian Steal Syndrome,"['OTAR_0000010', 'EFO_0000319']","A complication of INTERNAL MAMMARY-CORONARY ARTERY ANASTOMOSIS whereby an occlusion or stenosis of the proximal SUBCLAVIAN ARTERY causes a reversal of the blood flow away from the CORONARY CIRCULATION, through the grafted INTERNAL MAMMARY ARTERY (internal thoracic artery), and back to the distal subclavian distribution."
heart disease,EFO_0003777,heart disease,EFO_0003911,atrial flutter,"['OTAR_0000010', 'EFO_0000319']","Rapid, irregular atrial contractions caused by a block of electrical impulse conduction in the right atrium and a reentrant wave front traveling up the inter-atrial septum and down the right atrial free wall or vice versa. Unlike ATRIAL FIBRILLATION which is caused by abnormal impulse generation, typical atrial flutter is caused by abnormal impulse conduction. As in atrial fibrillation, patients with atrial flutter cannot effectively pump blood into the lower chambers of the heart (HEART VENTRICLES)."
heart disease,EFO_0003777,heart disease,EFO_0000767,idiopathic cardiomyopathy,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",A disease of the heart muscle or myocardium proper whose cause is unknown.
heart disease,EFO_0003777,heart disease,MONDO_0001823,sick sinus syndrome,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']","A constellation of signs and symptoms which may include syncope, fatigue, dizziness, and alternating periods of bradycardia and atrial tachycardia, which is caused by sinoatrial node dysfunction."
heart disease,EFO_0003777,heart disease,EFO_0000407,dilated cardiomyopathy,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",An intrinsic cardiomyopathy that results in damage to the myocardium causing the heart to pump blood inefficiently.
heart disease,EFO_0003777,heart disease,EFO_0003149,advanced heart failure,"['OTAR_0000010', 'EFO_0000319']","Patients with advanced heart failure have severe limitations, experiences symptoms even while at rest and are mostly bedbound patients."
heart disease,EFO_0003777,heart disease,EFO_0003148,moderate heart failure,"['OTAR_0000010', 'EFO_0000319']","Heart failure characterized by marked limitation in activity due to symptoms, even during less-than-ordinary activity, e.g. walking short distances (20–100 m). Patients with moderate heart failure are comfortable only at rest."
heart disease,EFO_0003777,heart disease,EFO_0003147,mild heart failure,"['OTAR_0000010', 'EFO_0000319']",Heart failure characterized by mild symptoms (mild shortness of breath and/or angina) and slight limitation during ordinary activity.
heart disease,EFO_0003777,heart disease,MONDO_0030701,autoimmune cardiomyopathy,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000540', 'EFO_0000319']",An autoimmune form of cardiomyopathy.
heart disease,EFO_0003777,heart disease,EFO_1001193,subacute bacterial endocarditis,"['EFO_0005741', 'OTAR_0000010', 'EFO_0000319']","Subacute inflammation of the endocardium. Streptococcus viridans is the usual etiologic agent of subacute bacterial endocarditis. The distinction between ""acute"" and ""subacute"" endocarditis has traditionally been made based on the pathogenic organism and clinical presentation."
heart disease,EFO_0003777,heart disease,EFO_0003146,symptomatic heart failure,"['OTAR_0000010', 'EFO_0000319']","A heart failure which results in symptoms such as shortness of breath, fatigue, inability to exercise… etc"
heart disease,EFO_0003777,heart disease,EFO_0003145,high output heart failure,"['OTAR_0000010', 'EFO_0000319']",High-output heart failure is a heart condition that occurs when the cardiac output is higher than normal.
heart disease,EFO_0003777,heart disease,EFO_0003144,heart failure,"['OTAR_0000010', 'EFO_0000319']","Inability of the heart to pump blood at an adequate rate to meet tissue metabolic requirements. Clinical symptoms of heart failure include: unusual dyspnea on light exertion, recurrent dyspnea occurring in the supine position, fluid retention or rales, jugular venous distension, pulmonary edema on physical exam, or pulmonary edema on chest x-ray presumed to be cardiac dysfunction."
heart disease,EFO_0003777,heart disease,EFO_0004225,Coronary Vasospasm,"['OTAR_0000010', 'EFO_0000319']",Sudden coronary artery smooth muscle contraction leading to lumen constriction and decreased blood flow.
heart disease,EFO_0003777,heart disease,EFO_0009953,post-operative myocardial infarction,"['EFO_0000651', 'OTAR_0000010', 'EFO_0000319']",Myocardial infarction that occurs after surgery.
heart disease,EFO_0003777,heart disease,EFO_0009952,post-operative atrial fibrillation,"['EFO_0000651', 'OTAR_0000010', 'EFO_0000319']",Atrial fibrillation that occurs after surgery.
heart disease,EFO_0003777,heart disease,MONDO_0019439,AA amyloidosis,"['MONDO_0024297', 'OTAR_0000006', 'EFO_0009690', 'EFO_0000618', 'EFO_0000319', 'OTAR_0000010']","Secondary amyloidosis is a form of amyloidosis, that complicates chronic inflammatory disorders (mainly rheumatoid arthritis) and is characterized by the aggregation and deposition of amyloid fibrils composed of serum amyloid A protein, an acute phase reactant. Although spleen, suprarenal gland, liver and gut are frequent sites of amyloid deposition, the clinical picture is dominated by renal involvement."
heart disease,EFO_0003777,heart disease,HP_0001634,Mitral valve prolapse,"['EFO_0000651', 'OTAR_0000010', 'EFO_0000319']",One or both of the leaflets (cusps) of the mitral valve bulges back into the left atrium upon contraction of the left ventricle.
heart disease,EFO_0003777,heart disease,EFO_0004138,bundle branch block,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']","A bundle branch block refers to a defect of the heart's electrical conduction system in which the bundle branch may cease to conduct electrical impulses appropriately. This results in altered pathways for ventricular depolarization. Since the electrical impulse can no longer use the preferred pathway across the bundle branch, it may move instead through muscle fibers in a way that both slows the electrical movement and changes the directional propagation of the impulses. As a result, there is a loss of ventricular synchrony, ventricular depolarization is prolonged, and there may be a corresponding drop in cardiac output. When heart failure is present, a specialized pacemaker may be used to resynchronize the ventricles"
heart disease,EFO_0003777,heart disease,EFO_0007525,tricuspid valve stenosis,"['OTAR_0000010', 'EFO_0000319']",A tricuspid valve disease that is characterized by the narrowing of the orifice of the tricuspid valve of the heart. This causes increased resistance to blood flow through the valve.
heart disease,EFO_0003777,heart disease,EFO_1001199,subvalvular aortic stenosis,"['OTAR_0000010', 'EFO_0000319']",An aortic stenosis caused by fibromuscular stenosis or hypertrophic cardiomyopathy. It may be associated with congenital heart defects.
heart disease,EFO_0003777,heart disease,MONDO_0100234,paroxysmal familial ventricular fibrillation,"['OTAR_0000010', 'EFO_0000319']","A rare, genetic, cardiac rhythm disease characterized by ventricular fibrillation in the absence of any structural or functional heart disease, or known repolarization abnormalities. The presence of J waves is associated with a higher risk of nocturnal ventricular fibrillation events and a higher risk of recurrence."
heart disease,EFO_0003777,heart disease,EFO_0005137,conduction system disorder,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",A disease involving the conducting system of heart.
heart disease,EFO_0003777,heart disease,EFO_0004287,ventricular fibrillation,"['OTAR_0000010', 'EFO_0000319']","A disorder characterized by an electrocardiographic finding of a rapid grossly irregular ventricular rhythm with marked variability in QRS cycle length, morphology, and amplitude. The rate is typically greater than 300 bpm. (CDISC)"
heart disease,EFO_0003777,heart disease,EFO_0007426,pericardial tuberculosis,"['EFO_0005741', 'OTAR_0000010', 'EFO_0000319']","An extrapulmonary tuberculosis that is located_in pericardium resulting in acute pericarditis, chronic pericardial effusion, cardiac tamponade or pericardial constriction."
heart disease,EFO_0003777,heart disease,EFO_0007427,pericarditis,"['OTAR_0000010', 'EFO_0000319']",A pericardium disease that is characterized by an inflammation of the pericardium and has_symptom chest pain.
heart disease,EFO_0003777,heart disease,EFO_0009609,myocarditis,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']","Myocarditis is a condition that is characterized by inflammation of the heart muscle (myocardium). Some affected people have no noticeable symptoms of the condition. When present, signs and symptoms may include chest pain, abnormal heartbeat, shortness of breath, fatigue, signs of infection (i.e. fever, headache, sore throat, diarrhea), and leg swelling. Myocarditis can be caused by a variety of factors including infections (viral, bacterial, parasitic, and fungal), allergic reactions to certain medications, and exposure to certain chemicals. It can also be associated with other inflammatory conditions such as lupus , Wegener's granulomatosis , giant cell arteritis and Takayasu's arteritis. Most cases occur sporadically in people with no family history of the condition. Treatment aims to address the underlying cause of the condition. Medications and, rarely, a heart transplant may be needed if the heart muscle becomes weak. [ https://rarediseases.info.nih.gov/diseases/7137/myocarditis ]"
heart disease,EFO_0003777,heart disease,EFO_0004278,sudden cardiac arrest,"['OTAR_0000010', 'EFO_0000319']",An unexpected natural death from a cardiac cause within a short time period from the onset of symptoms.
heart disease,EFO_0003777,heart disease,EFO_0004269,cardiac arrhythmia,"['OTAR_0000010', 'EFO_0000319']","Any disturbances of the normal rhythmic beating of the heart or MYOCARDIAL CONTRACTION. Cardiac arrhythmias can be classified by the abnormalities in HEART RATE, disorders of electrical impulse generation, or impulse conduction."
heart disease,EFO_0003777,heart disease,EFO_0005239,aortic valve calcification,"['OTAR_0000010', 'EFO_0000319']",Calcification of the aortic valve
heart disease,EFO_0003777,heart disease,EFO_0010820,spontaneous coronary artery dissection,"['OTAR_0000010', 'EFO_0000319']","The spontaneous occurrence of a dissection of the coronary artery. The clinical recognition of this phenomenon has increased as coronary angiography is becoming more commonly used in the treatment of acute coronary syndrome. The etiology of the condition has not been fully elucidated, but the mean age of presentation is 30-45 years, more than 70% are women, and 30% of cases occur in the peripartum period."
heart disease,EFO_0003777,heart disease,EFO_1000901,discrete subaortic stenosis,"['OTAR_0000010', 'EFO_0000319']","A type of constriction that is caused by the presence of a fibrous ring (discrete type) below the AORTIC VALVE, anywhere between the aortic valve and the MITRAL VALVE. It is characterized by restricted outflow from the LEFT VENTRICLE into the AORTA."
heart disease,EFO_0003777,heart disease,EFO_0007208,Churg-Strauss syndrome,"['EFO_0009690', 'EFO_0000618', 'EFO_0000319', 'OTAR_0000010', 'EFO_0000540']","A vasculitits that is systemic vasculitis realized as blood vessel inflammation and has_symptom asthma along with hay fever, rash and gastrointestinal bleeding."
heart disease,EFO_0003777,heart disease,EFO_0010953,autosomal recessive dilated cardiomyopathy,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']","Dilated cardiomyopathy, characterized by dilation and contractile dysfunction of the left and right ventricles, with an autosomal recessive pattern of inheritance."
heart disease,EFO_0003777,heart disease,EFO_0005138,acquired long QT syndrome,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",A form of long QT syndrome in which malfunction of the cardiac ion channels is caused by drugs or metabolic abnormalities. Common genetic variation may influence susceptibility to acquired long QT syndrome.
atherosclerosis,EFO_0003914,atherosclerosis,EFO_0009783,carotid atherosclerosis,"['EFO_0000618', 'EFO_0000319']",A thickening and loss of elasticity of the walls of carotid arteries that occur with formation of atherosclerotic plaques.
atherosclerosis,EFO_0003914,atherosclerosis,EFO_1000820,arteriosclerosis obliterans,"['OTAR_0000010', 'EFO_0000319']","Common occlusive arterial disease which is caused by ATHEROSCLEROSIS. It is characterized by lesions in the innermost layer (ARTERIAL INTIMA) of arteries including the AORTA and its branches to the extremities. Risk factors include smoking, HYPERLIPIDEMIA, and HYPERTENSION."
atherosclerosis,EFO_0003914,atherosclerosis,EFO_0004265,peripheral arterial disease,['EFO_0000319'],"A disorder of the arteries supplying the upper and lower extremity and the visceral organs. This includes the mesenteric arteries, the renal arteries and the aorta and excludes cerebrovascular arterial disease. Patients experience cramping and pain usually in the calves and thighs while walking. The symptoms subside with rest."
atherosclerosis,EFO_0003914,atherosclerosis,EFO_1000819,arteriolosclerosis,"['OTAR_0000010', 'EFO_0000319']",The thickening of the wall of the small arteries and arterioles. It is caused by deposition of hyaline material in the wall or concentric smooth muscle wall hypertrophy. It results in lumen narrowing and tissue ischemia.
atherosclerosis,EFO_0003914,atherosclerosis,EFO_1000860,cerebral atherosclerosis,['EFO_0000319'],Vascular diseases characterized by thickening and hardening of the walls of ARTERIES inside the SKULL. There are three subtypes: (1) atherosclerosis with fatty deposits in the ARTERIAL INTIMA; (2) Monckeberg's sclerosis with calcium deposits in the media and (3) arteriolosclerosis involving the small caliber arteries. Clinical signs include HEADACHE; CONFUSION; transient blindness (AMAUROSIS FUGAX); speech impairment; and HEMIPARESIS.
atherosclerosis,EFO_0003914,atherosclerosis,MONDO_0021661,coronary atherosclerosis,"['OTAR_0000010', 'EFO_0000319']",Atherosclerosis of the coronary vasculature.
hypertension,EFO_0000537,hypertension,EFO_1002032,primary hypertension,['EFO_0000319'],Hypertension that presents without an identifiable cause.
hypertension,EFO_0000537,hypertension,EFO_1002034,secondary hypertension,['EFO_0000319'],High blood pressure caused by an underlying medical condition.
hypertension,EFO_0000537,hypertension,EFO_0009054,Pulmonary arterial hypertension associated with congenital heart disease,"['OTAR_0000010', 'EFO_0000319']","Pulmonary arterial hypertension associated with congenital heart disease (PAH-CHD) is a form of pulmonary arterial hypertension (PAH, see this term), characterized by elevated pulmonary arterial resistance leading to right heart failure occurring as a common complication of congenital heart malformations (see this term) with left to right cardiac shunts. Eisenmenger syndrome (see this term) is the most advanced form of PAH-CHD and is defined as the complete or partial reversal of an initial left-to-right shunt to a right-to-left shunt, causing cyanosis and limited exercise capacity. PAH-CHD also includes mild to moderate systemic-to-pulmonary shunts with no cyanosis at rest, patients with small defects, and those with residual PAH following corrective cardiac surgery."
