Disease1,Disease2,Description1,Description2,I1,I2,C12,C12simultaneous,RR,p_value,Category1,Category2,Direction,N1,N2,P1_direction,P2_direction
C16,K20;K21,C16 Malignant neoplasm of stomach,K20 Oesophagitis;K21 Gastro-oesophageal reflux disease,854,44943,244,39,2.608338816,0,Neoplasm,Gastrointestinal,0,90,115,0.999985742,0.83153511
C16,K22,C16 Malignant neoplasm of stomach,K22 Other diseases of oesophagus,854,14304,229,30,7.691556202,2.44E-15,Neoplasm,Gastrointestinal,0,70,129,0.999999999,0.032017955
C16,K44,C16 Malignant neoplasm of stomach,K44 Diaphragmatic hernia,854,39329,202,43,2.467599664,0,Neoplasm,Gastrointestinal,0,35,124,1,0.000740986
C16,J98,C16 Malignant neoplasm of stomach,J98 Other respiratory disorders,854,5690,63,10,5.319422916,1.11E-16,Neoplasm,Respiratory,0,45,8,0.000449024,1
C16,N17,C16 Malignant neoplasm of stomach,N17 Acute renal failure,854,9312,92,15,4.74658319,0,Neoplasm,Urinary,0,59,18,0.004390465,1
C16,F17,C16 Malignant neoplasm of stomach,F17 Mental and behavioural disorders due to use of tobacco,854,18179,82,10,2.167105726,3.48E-10,Neoplasm,Psychiatric,0,41,31,0.543921696,0.990086542
C16,E87,C16 Malignant neoplasm of stomach,"E87 Other disorders of fluid, electrolyte and acid-base balance",854,9766,73,10,3.591223026,0,Neoplasm,Metabolic,0,46,17,0.017207957,0.999999237
C16,D50,C16 Malignant neoplasm of stomach,D50 Iron deficiency anaemia,854,13019,101,22,3.72717671,0,Neoplasm,Hematological,0,28,51,0.99999841,0.5
C16,I25,C16 Malignant neoplasm of stomach,I25 Chronic ischaemic heart disease,854,36556,137,18,1.800520769,2.19E-10,Neoplasm,Cardiovascular,0,32,87,1,0.000994343
A09,C16,A09 Diarrhoea and gastro-enteritis of presumed infectious origin,C16 Malignant neoplasm of stomach,10766,854,80,9,3.570029858,0,Infectious,Neoplasm,0,16,55,0.999999993,0.000526367
C16,K29,C16 Malignant neoplasm of stomach,K29 Gastritis and duodenitis,854,42719,267,68,3.002800091,8.88E-16,Neoplasm,Gastrointestinal,0,64,135,1,0.451306887
C16,K92,C16 Malignant neoplasm of stomach,K92 Other diseases of digestive system,854,14676,132,14,4.321181071,4.44E-16,Neoplasm,Gastrointestinal,0,64,54,0.66820732,0.985414187
H40,J30,H40 Glaucoma,J30 Vasomotor and allergic rhinitis,7512,1890,74,38,2.138496008,4.09E-09,Ophthalmological,"Ear, Nose, Throat",0,27,9,0.992960009,1
H26,J30,H26 Other cataract,J30 Vasomotor and allergic rhinitis,23683,1890,191,55,1.750769433,8.48E-13,Ophthalmological,"Ear, Nose, Throat",0,76,60,0.998156452,0.999999933
E78,J30,E78 Disorders of lipoprotein metabolism and other lipidaemias,J30 Vasomotor and allergic rhinitis,53818,1890,342,90,1.379529065,9.07E-09,Metabolic,"Ear, Nose, Throat",0,150,102,0.990035534,1
J30,J33,J30 Vasomotor and allergic rhinitis,J33 Nasal polyp,1890,4130,89,45,4.6781297,0,"Ear, Nose, Throat","Ear, Nose, Throat",0,14,30,1,0.999332369
J30,J32,J30 Vasomotor and allergic rhinitis,J32 Chronic sinusitis,1890,3380,82,41,5.266589337,0,"Ear, Nose, Throat","Ear, Nose, Throat",0,15,26,0.999999999,0.999732639
E66,J30,E66 Obesity,J30 Vasomotor and allergic rhinitis,19224,1890,165,50,1.863255834,2.92E-13,Nutritional,"Ear, Nose, Throat",0,50,65,0.999999905,0.997541823
J30,M25,J30 Vasomotor and allergic rhinitis,"M25 Other joint disorders, not elsewhere classified",1890,19071,156,21,1.775756592,3.55E-11,"Ear, Nose, Throat",Joint,0,55,80,0.999924789,0.405137939
H35,J30,H35 Other retinal disorders,J30 Vasomotor and allergic rhinitis,5836,1890,57,20,2.120273453,2.90E-07,Ophthalmological,"Ear, Nose, Throat",0,17,20,0.99936822,0.991825948
J30,L50,J30 Vasomotor and allergic rhinitis,L50 Urticaria,1890,536,15,7,6.075174722,5.90E-08,"Ear, Nose, Throat",Dermatological,0,4,4,0.982421875,0.982421875
I10,J30,I10 Essential (primary) hypertension,J30 Vasomotor and allergic rhinitis,112927,1890,629,153,1.209163859,2.07E-06,Cardiovascular,"Ear, Nose, Throat",0,336,140,0.046962184,1
G43,J30,G43 Migraine,J30 Vasomotor and allergic rhinitis,4310,1890,44,21,2.216193668,2.02E-06,Neurological,"Ear, Nose, Throat",0,14,9,0.995220061,0.999987276
J30,J34,J30 Vasomotor and allergic rhinitis,J34 Other disorders of nose and nasal sinuses,1890,8627,213,135,5.359843496,0,"Ear, Nose, Throat","Ear, Nose, Throat",0,29,49,1,1
J30,L30,J30 Vasomotor and allergic rhinitis,L30 Other dermatitis,1890,2479,66,44,5.779625681,6.66E-16,"Ear, Nose, Throat",Dermatological,0,10,12,0.999999999,0.999999982
J30,M22;M23,J30 Vasomotor and allergic rhinitis,M22 Disorders of patella;M23 Internal derangement of knee,1890,20788,146,27,1.52465805,1.10E-06,"Ear, Nose, Throat",Joint,0,42,77,0.999999941,0.281260471
H02,J30,H02 Other disorders of eyelid,J30 Vasomotor and allergic rhinitis,7957,1890,73,23,1.991616912,8.01E-08,Ophthalmological,"Ear, Nose, Throat",0,33,17,0.825409081,0.999999237
J30,M19,J30 Vasomotor and allergic rhinitis,M19 Other arthrosis,1890,26203,208,65,1.723235455,3.10E-13,"Ear, Nose, Throat",Joint,0,74,69,0.999989739,0.999999667
J30,K20;K21,J30 Vasomotor and allergic rhinitis,K20 Oesophagitis;K21 Gastro-oesophageal reflux disease,1890,44943,348,102,1.68092946,5.02E-14,"Ear, Nose, Throat",Gastrointestinal,0,118,128,1,0.999999734
J30,M79,J30 Vasomotor and allergic rhinitis,"M79 Other soft tissue disorders, not elsewhere classified",1890,18612,151,33,1.761230537,1.24E-10,"Ear, Nose, Throat",Muscular,0,48,70,0.999997983,0.835595695
J30,K58,J30 Vasomotor and allergic rhinitis,K58 Irritable bowel syndrome,1890,8207,102,36,2.698037873,0,"Ear, Nose, Throat",Gastrointestinal,0,19,47,1,0.813528166
J30,M47,J30 Vasomotor and allergic rhinitis,M47 Spondylosis,1890,11974,98,20,1.776720549,1.25E-07,"Ear, Nose, Throat",Spine,0,34,44,0.99919971,0.866797203
J30,J45,J30 Vasomotor and allergic rhinitis,J45 Asthma,1890,37337,495,162,2.878048329,1.08E-13,"Ear, Nose, Throat",Respiratory,0,95,238,1,0.815648017
J30,K44,J30 Vasomotor and allergic rhinitis,K44 Diaphragmatic hernia,1890,39329,255,36,1.407536222,1.35E-07,"Ear, Nose, Throat",Gastrointestinal,0,95,124,0.99998376,0.691763718
J30,M54,J30 Vasomotor and allergic rhinitis,M54 Dorsalgia,1890,21562,171,38,1.721628217,4.33E-11,"Ear, Nose, Throat",Spine,0,61,72,0.999940891,0.984022986
F40,J30,F40 Phobic anxiety disorders,J30 Vasomotor and allergic rhinitis,1096,1890,22,11,4.357570579,2.15E-08,Psychiatric,"Ear, Nose, Throat",0,3,8,0.999939442,0.933099747
F32,J30,F32 Depressive episode,J30 Vasomotor and allergic rhinitis,18765,1890,175,67,2.024518657,0,Psychiatric,"Ear, Nose, Throat",0,65,43,0.999763954,1
J22,J30,J22 Unspecified acute lower respiratory infection,J30 Vasomotor and allergic rhinitis,11590,1890,91,21,1.704473524,1.78E-06,Respiratory,"Ear, Nose, Throat",0,36,34,0.982275203,0.99427183
H52,J30,H52 Disorders of refraction and accommodation,J30 Vasomotor and allergic rhinitis,2981,1890,52,21,3.786811357,0,Ophthalmological,"Ear, Nose, Throat",0,22,9,0.894195716,0.999999798
K01,K10,K01 Embedded and impacted teeth,K10 Other diseases of jaws,2428,505,16,6,5.353946531,1.18E-07,Oral,Oral,0,9,1,0.401809692,0.999984741
K01,K02,K01 Embedded and impacted teeth,K02 Dental caries,2428,4765,350,281,12.41225144,0,Oral,Oral,0,43,26,1,1
K01,K05,K01 Embedded and impacted teeth,K05 Gingivitis and periodontal diseases,2428,1240,188,167,25.62014535,4.44E-16,Oral,Oral,0,13,8,1,1
K01,K07,K01 Embedded and impacted teeth,K07 Dentofacial anomalies [including malocclusion],2428,818,41,24,8.469855053,0,Oral,Oral,0,11,6,0.999274754,0.999999608
I07,I45,I07 Rheumatic tricuspid valve diseases,I45 Other conduction disorders,585,3645,53,12,10.19803688,2.22E-16,Cardiovascular,Cardiovascular,0,16,25,0.998904907,0.708433923
E78,I07,E78 Disorders of lipoprotein metabolism and other lipidaemias,I07 Rheumatic tricuspid valve diseases,53818,585,225,41,2.932197406,0,Metabolic,Cardiovascular,0,146,38,4.69E-06,1
E11,I07,E11 Non-insulin-dependent diabetes mellitus,I07 Rheumatic tricuspid valve diseases,29261,585,133,12,3.187870848,3.00E-15,Endocrine,Cardiovascular,0,91,30,1.29E-05,1
E66,I07,E66 Obesity,I07 Rheumatic tricuspid valve diseases,19224,585,99,17,3.611849771,1.33E-15,Nutritional,Cardiovascular,0,55,27,0.157439946,0.999998758
I07,M25,I07 Rheumatic tricuspid valve diseases,"M25 Other joint disorders, not elsewhere classified",585,19071,67,9,2.463993615,9.02E-11,Cardiovascular,Joint,0,18,40,0.99996631,0.07103569
I07,I24,I07 Rheumatic tricuspid valve diseases,I24 Other acute ischaemic heart diseases,585,2352,35,11,10.43683862,4.44E-16,Cardiovascular,Cardiovascular,0,15,9,0.84474767,0.999060887
I07,N18,I07 Rheumatic tricuspid valve diseases,N18 Chronic renal failure,585,9082,99,19,7.645254349,1.11E-16,Cardiovascular,Urinary,0,38,42,0.992283818,0.946324207
I07,I46,I07 Rheumatic tricuspid valve diseases,I46 Cardiac arrest,585,1626,18,8,7.764083641,6.55E-11,Cardiovascular,Cardiovascular,0,7,3,0.881057739,0.999343872
I07,I34,I07 Rheumatic tricuspid valve diseases,I34 Nonrheumatic mitral valve disorders,585,3730,107,43,20.11931486,0,Cardiovascular,Cardiovascular,0,17,47,1,0.912179863
I07,I10,I07 Rheumatic tricuspid valve diseases,I10 Essential (primary) hypertension,585,112927,397,46,2.465647326,6.49E-14,Cardiovascular,Cardiovascular,-1,57,294,1,1.09E-22
I07,J42;J44,I07 Rheumatic tricuspid valve diseases,J42 Unspecified chronic bronchitis;J44 Other chronic obstructive pulmonary disease,585,13595,79,15,4.075549017,8.88E-16,Cardiovascular,Respiratory,0,17,47,0.999999953,0.057330178
I07,N40,I07 Rheumatic tricuspid valve diseases,N40 Hyperplasia of prostate,585,16565,53,6,2.243999061,1.38E-07,Cardiovascular,Male genital organs,0,7,40,0.999999997,0.00013427
I07,I63;I64,I07 Rheumatic tricuspid valve diseases,"I63 Cerebral infarction;I64 Stroke, not specified as haemorrhage or infarction",585,6144,52,9,5.935951968,0,Cardiovascular,Cardiovascular,0,12,31,0.999982056,0.105804284
I07,J43,I07 Rheumatic tricuspid valve diseases,J43 Emphysema,585,2773,24,7,6.070152663,7.81E-12,Cardiovascular,Respiratory,0,6,11,0.996694624,0.729371905
D64,I07,D64 Other anaemias,I07 Rheumatic tricuspid valve diseases,18059,585,104,12,4.039037476,2.55E-15,Hematological,Cardiovascular,0,58,34,0.140345165,0.999876442
I07,M15,I07 Rheumatic tricuspid valve diseases,M15 Polyarthrosis,585,6515,30,6,3.229572781,5.42E-08,Cardiovascular,Joint,0,10,14,0.978613027,0.707667644
I07,M19,I07 Rheumatic tricuspid valve diseases,M19 Other arthrosis,585,26203,111,15,2.971051661,0,Cardiovascular,Joint,0,25,71,0.999999999,0.002097767
I07,I20,I07 Rheumatic tricuspid valve diseases,I20 Angina pectoris,585,25449,158,28,4.354362756,0,Cardiovascular,Cardiovascular,0,38,92,1,0.023184677
I07,M06,I07 Rheumatic tricuspid valve diseases,M06 Other rheumatoid arthritis,585,6587,31,7,3.300747263,2.04E-08,Cardiovascular,Immunological,0,9,15,0.99466308,0.639949934
I07,I31,I07 Rheumatic tricuspid valve diseases,I31 Other diseases of pericardium,585,1763,47,14,18.69751056,4.44E-16,Cardiovascular,Cardiovascular,0,11,22,0.999950756,0.719967685
I07,I51,I07 Rheumatic tricuspid valve diseases,I51 Complications and ill-defined descriptions of heart disease,585,7240,238,127,23.0556108,2.22E-16,Cardiovascular,Cardiovascular,0,46,65,1,1
I07,K20;K21,I07 Rheumatic tricuspid valve diseases,K20 Oesophagitis;K21 Gastro-oesophageal reflux disease,585,44943,124,17,1.935075293,2.16E-11,Cardiovascular,Gastrointestinal,0,33,74,0.999999967,0.019224249
I07,M79,I07 Rheumatic tricuspid valve diseases,"M79 Other soft tissue disorders, not elsewhere classified",585,18612,87,6,3.278418941,0,Cardiovascular,Muscular,0,29,52,0.999415681,0.042844487
I07,I49,I07 Rheumatic tricuspid valve diseases,I49 Other cardiac arrhythmias,585,4136,51,13,8.648243069,5.55E-16,Cardiovascular,Cardiovascular,0,18,20,0.987953546,0.954042725
I07,M47,I07 Rheumatic tricuspid valve diseases,M47 Spondylosis,585,11974,56,12,3.280099475,8.04E-14,Cardiovascular,Spine,0,10,34,0.999999871,0.070447712
I07,I35,I07 Rheumatic tricuspid valve diseases,I35 Nonrheumatic aortic valve disorders,585,4101,54,16,9.235113387,0,Cardiovascular,Cardiovascular,0,8,30,0.999999989,0.248308718
I07,I50,I07 Rheumatic tricuspid valve diseases,I50 Heart failure,585,8926,217,73,17.05065601,2.33E-15,Cardiovascular,Cardiovascular,0,48,96,1,0.96133837
F05,I07,"F05 Delirium, not induced by alcohol and other psychoactive substances",I07 Rheumatic tricuspid valve diseases,1557,585,23,6,10.36042246,6.66E-16,Psychiatric,Cardiovascular,0,3,14,0.999966979,0.202436447
I07,J84,I07 Rheumatic tricuspid valve diseases,J84 Other interstitial pulmonary diseases,585,1744,20,9,8.043068298,3.17E-12,Cardiovascular,Respiratory,0,1,10,0.999999046,0.588098526
I07,I95,I07 Rheumatic tricuspid valve diseases,I95 Hypotension,585,8464,92,20,7.623429952,0,Cardiovascular,Cardiovascular,0,36,36,0.985991549,0.985991549
E03,I07,E03 Other hypothyroidism,I07 Rheumatic tricuspid valve diseases,20958,585,73,15,2.442931365,1.99E-11,Endocrine,Cardiovascular,0,49,9,0.002313147,1
I07,I47,I07 Rheumatic tricuspid valve diseases,I47 Paroxysmal tachycardia,585,4679,66,14,9.893025575,0,Cardiovascular,Cardiovascular,0,13,39,0.999999915,0.087642897
I07,L03,I07 Rheumatic tricuspid valve diseases,L03 Cellulitis,585,10516,55,9,3.668177592,1.44E-15,Cardiovascular,Dermatological,0,17,29,0.998666369,0.393853095
I07,M81,I07 Rheumatic tricuspid valve diseases,M81 Osteoporosis without pathological fracture,585,9918,46,10,3.252909413,1.56E-11,Cardiovascular,Bone,0,14,22,0.997733069,0.670630961
I07,J45,I07 Rheumatic tricuspid valve diseases,J45 Asthma,585,37337,97,9,1.822093068,4.71E-08,Cardiovascular,Respiratory,-1,16,72,1,9.59E-07
I07,J98,I07 Rheumatic tricuspid valve diseases,J98 Other respiratory disorders,585,5690,72,20,8.874797891,0,Cardiovascular,Respiratory,0,21,31,0.999896142,0.902747417
I07,N17,I07 Rheumatic tricuspid valve diseases,N17 Acute renal failure,585,9312,126,23,9.489991409,0,Cardiovascular,Urinary,0,51,52,0.987228318,0.97998212
I07,I44,I07 Rheumatic tricuspid valve diseases,I44 Atrioventricular and left bundle-branch block,585,6063,85,19,9.832627779,1.22E-15,Cardiovascular,Cardiovascular,0,25,41,0.99996302,0.667677255
F17,I07,F17 Mental and behavioural disorders due to use of tobacco,I07 Rheumatic tricuspid valve diseases,18179,585,60,14,2.314832132,7.54E-09,Psychiatric,Cardiovascular,0,38,8,0.025946948,1
E87,I07,"E87 Other disorders of fluid, electrolyte and acid-base balance",I07 Rheumatic tricuspid valve diseases,9766,585,118,32,8.474294036,1.55E-15,Metabolic,Cardiovascular,0,37,49,0.999986208,0.973625825
A41,I07,A41 Other septicaemia,I07 Rheumatic tricuspid valve diseases,6601,585,62,9,6.587493477,3.33E-16,Infectious,Cardiovascular,0,23,30,0.984992068,0.648231664
I07,N19,I07 Rheumatic tricuspid valve diseases,N19 Unspecified renal failure,585,2053,26,6,8.882242788,2.22E-16,Cardiovascular,Urinary,0,10,10,0.915681228,0.915681228
I07,N39,I07 Rheumatic tricuspid valve diseases,N39 Other disorders of urinary system,585,27390,125,13,3.20078293,0,Cardiovascular,Urinary,0,37,75,0.999998817,0.015704667
F32,I07,F32 Depressive episode,I07 Rheumatic tricuspid valve diseases,18765,585,66,6,2.466798117,1.18E-10,Psychiatric,Cardiovascular,0,45,15,0.002136203,0.999998589
D50,I07,D50 Iron deficiency anaemia,I07 Rheumatic tricuspid valve diseases,13019,585,79,11,4.255863652,0,Hematological,Cardiovascular,0,37,31,0.750051562,0.978917278
I07,J22,I07 Rheumatic tricuspid valve diseases,J22 Unspecified acute lower respiratory infection,585,11590,90,10,5.446246764,3.33E-15,Cardiovascular,Respiratory,0,36,44,0.977701238,0.623983399
I07,I21;I22,I07 Rheumatic tricuspid valve diseases,I21 Acute myocardial infarction;I22 Subsequent myocardial infarction,585,11771,108,52,6.435001274,2.11E-15,Cardiovascular,Cardiovascular,0,12,44,1,0.97859639
I07,I25,I07 Rheumatic tricuspid valve diseases,I25 Chronic ischaemic heart disease,585,36556,266,65,5.103418803,0,Cardiovascular,Cardiovascular,0,73,128,1,0.749951437
I07,J96,I07 Rheumatic tricuspid valve diseases,"J96 Respiratory failure, not elsewhere classified",585,3669,57,15,10.89595712,2.22E-16,Cardiovascular,Respiratory,0,18,24,0.998399228,0.907574759
L84,M21,L84 Corns and callosities,M21 Other acquired deformities of limbs,415,2682,31,14,11.42743951,0,Dermatological,Joint,0,9,8,0.99466308,0.998336554
L84,M25,L84 Corns and callosities,"M25 Other joint disorders, not elsewhere classified",415,19071,74,17,3.836226706,0,Dermatological,Joint,0,25,32,0.998313883,0.899660898
I10,L84,I10 Essential (primary) hypertension,L84 Corns and callosities,112927,415,168,30,1.470813142,1.49E-06,Cardiovascular,Dermatological,0,68,70,0.994660353,0.987515667
L84,M15,L84 Corns and callosities,M15 Polyarthrosis,415,6515,30,7,4.552530305,2.42E-11,Dermatological,Joint,0,17,6,0.292332356,0.999837543
L84,M19,L84 Corns and callosities,M19 Other arthrosis,415,26203,115,36,4.339031813,0,Dermatological,Joint,0,42,37,0.998657149,0.999962418
L84,M06,L84 Corns and callosities,M06 Other rheumatoid arthritis,415,6587,34,10,5.103137432,5.45E-14,Dermatological,Immunological,0,11,13,0.987846745,0.939275258
L84,M47,L84 Corns and callosities,M47 Spondylosis,415,11974,32,7,2.642145532,1.50E-06,Dermatological,Spine,0,17,8,0.430025033,0.998948799
L84,M20,L84 Corns and callosities,M20 Acquired deformities of fingers and toes,415,13014,271,205,20.58754205,3.11E-15,Dermatological,Joint,0,14,52,1,1
E03,L84,E03 Other hypothyroidism,L84 Corns and callosities,20958,415,47,11,2.217144674,9.23E-07,Endocrine,Dermatological,0,22,14,0.719967685,0.998456162
L03,L84,L03 Cellulitis,L84 Corns and callosities,10516,415,29,5,2.726424221,2.50E-06,Dermatological,Dermatological,0,8,16,0.995934971,0.355535552
L84,M89,L84 Corns and callosities,M89 Other disorders of bone,415,2134,32,18,14.82523458,1.11E-16,Dermatological,Bone,0,7,7,0.999732474,0.999732474
G56;G57,L84,G56 Mononeuropathies of upper limb;G57 Mononeuropathies of lower limb,L84 Corns and callosities,16551,415,44,6,2.628297056,2.24E-08,Neurological,Dermatological,0,30,8,0.011314421,0.99999735
L84,M81,L84 Corns and callosities,M81 Osteoporosis without pathological fracture,415,9918,28,8,2.791129187,2.39E-06,Dermatological,Bone,0,12,8,0.827535775,0.993729524
F17,L84,F17 Mental and behavioural disorders due to use of tobacco,L84 Corns and callosities,18179,415,48,13,2.610461296,6.59E-09,Psychiatric,Dermatological,0,12,23,0.999888878,0.667267094
I67,M10,I67 Other cerebrovascular diseases,M10 Gout,4194,5405,200,48,3.619928385,0,Cardiovascular,Joint,0,59,93,0.999999999,0.855589751
I67,K59,I67 Other cerebrovascular diseases,K59 Other functional intestinal disorders,4194,17737,595,55,3.281727234,0,Cardiovascular,Gastrointestinal,0,266,274,0.995679181,0.975500546
H93,I67,"H93 Other disorders of ear, not elsewhere classified",I67 Other cerebrovascular diseases,993,4194,46,14,4.53183683,0,"Ear, Nose, Throat",Cardiovascular,0,20,12,0.849002193,0.999732207
E78,I67,E78 Disorders of lipoprotein metabolism and other lipidaemias,I67 Other cerebrovascular diseases,53818,4194,1786,406,3.246531205,0,Metabolic,Cardiovascular,1,1023,357,4.15E-10,1
E11,I67,E11 Non-insulin-dependent diabetes mellitus,I67 Other cerebrovascular diseases,29261,4194,991,169,3.313219218,0,Endocrine,Cardiovascular,1,640,182,1.57E-20,1
G45,I67,G45 Transient cerebral ischaemic attacks and related syndromes,I67 Other cerebrovascular diseases,3656,4194,503,170,13.45945514,0,Neurological,Cardiovascular,0,232,101,0.962800931,1
E66,I67,E66 Obesity,I67 Other cerebrovascular diseases,19224,4194,419,49,2.132239314,0,Nutritional,Cardiovascular,0,225,145,0.071333634,1
E22,I67,E22 Hyperfunction of pituitary gland,I67 Other cerebrovascular diseases,493,4194,30,6,5.95305667,3.46E-14,Endocrine,Cardiovascular,0,12,12,0.899755789,0.899755789
F00;F01;F03;G30,I67,F00 Dementia in Alzheimer's disease;F01 Vascular dementia;F03 Unspecified dementia;G30 Alzheimer's disease,I67 Other cerebrovascular diseases,2128,4194,350,102,16.09022444,0,Neurological,Cardiovascular,0,86,162,1,0.925571767
G31,I67,"G31 Other degenerative diseases of nervous system, not elsewhere classified",I67 Other cerebrovascular diseases,1095,4194,261,138,23.31804143,0,Neurological,Cardiovascular,0,59,64,1,1
I67,N18,I67 Other cerebrovascular diseases,N18 Chronic renal failure,4194,9082,558,108,6.010607692,0,Cardiovascular,Urinary,0,239,211,0.999703236,0.999999997
H49,I67,H49 Paralytic strabismus,I67 Other cerebrovascular diseases,423,4194,49,21,11.33238692,1.11E-16,Ophthalmological,Cardiovascular,0,19,9,0.957283433,0.999999018
I46,I67,I46 Cardiac arrest,I67 Other cerebrovascular diseases,1626,4194,86,19,5.174204525,2.00E-15,Cardiovascular,Cardiovascular,0,27,40,0.9998415,0.774726212
G62,I67,G62 Other polyneuropathies,I67 Other cerebrovascular diseases,2034,4194,126,24,6.060176569,3.77E-15,Neurological,Cardiovascular,0,52,50,0.97998212,0.992090898
I10,I67,I10 Essential (primary) hypertension,I67 Other cerebrovascular diseases,112927,4194,2895,559,2.507936052,1.84E-13,Cardiovascular,Cardiovascular,1,1946,390,2.41E-78,1
G43,I67,G43 Migraine,I67 Other cerebrovascular diseases,4310,4194,224,84,5.084361595,0,Neurological,Cardiovascular,0,93,47,0.995492299,1
I67,J42;J44,I67 Other cerebrovascular diseases,J42 Unspecified chronic bronchitis;J44 Other chronic obstructive pulmonary disease,4194,13595,609,117,4.382316723,8.37E-14,Cardiovascular,Respiratory,0,176,316,1,0.186341309
I62,I67,I62 Other nontraumatic intracranial haemorrhage,I67 Other cerebrovascular diseases,589,4194,76,10,12.6230406,1.11E-16,Cardiovascular,Cardiovascular,0,36,30,0.716713279,0.974773795
I67,I72,I67 Other cerebrovascular diseases,I72 Other aneurysm,4194,743,103,13,13.56169873,1.11E-15,Cardiovascular,Cardiovascular,0,42,48,0.975883174,0.784655467
I63;I64,I67,"I63 Cerebral infarction;I64 Stroke, not specified as haemorrhage or infarction",I67 Other cerebrovascular diseases,6144,4194,1188,510,18.91607011,2.24E-14,Cardiovascular,Cardiovascular,0,524,154,0.999978925,1
I67,K70,I67 Other cerebrovascular diseases,K70 Alcoholic liver disease,4194,1244,76,17,5.976664719,0,Cardiovascular,Hepatobiliary pancreas,0,17,42,0.999999807,0.211095552
H83,I67,H83 Other diseases of inner ear,I67 Other cerebrovascular diseases,1127,4194,45,18,3.906198232,6.31E-14,"Ear, Nose, Throat",Cardiovascular,0,18,9,0.932421775,0.999992313
G40,I67,G40 Epilepsy,I67 Other cerebrovascular diseases,5191,4194,402,97,7.576012902,0,Neurological,Cardiovascular,0,174,131,0.996991793,1
G91,I67,G91 Hydrocephalus,I67 Other cerebrovascular diseases,687,4194,113,32,16.09116128,9.99E-16,Neurological,Cardiovascular,0,48,33,0.955022834,0.999997726
I67,M19,I67 Other cerebrovascular diseases,M19 Other arthrosis,4194,26203,711,117,2.654509386,0,Cardiovascular,Joint,0,217,377,1,0.057582473
H53,I67,H53 Visual disturbances,I67 Other cerebrovascular diseases,4644,4194,356,105,7.499347331,4.44E-15,Ophthalmological,Cardiovascular,0,143,108,0.999919917,1
I20,I67,I20 Angina pectoris,I67 Other cerebrovascular diseases,25449,4194,874,91,3.359745588,5.41E-14,Cardiovascular,Cardiovascular,1,627,156,3.89E-39,1
I51,I67,I51 Complications and ill-defined descriptions of heart disease,I67 Other cerebrovascular diseases,7240,4194,368,65,4.972501627,0,Cardiovascular,Cardiovascular,0,143,160,0.999993016,0.994728873
I38,I67,"I38 Endocarditis, valve unspecified",I67 Other cerebrovascular diseases,600,4194,41,6,6.684951915,7.77E-16,Cardiovascular,Cardiovascular,0,26,9,0.058637603,0.999943889
I67,K20;K21,I67 Other cerebrovascular diseases,K20 Oesophagitis;K21 Gastro-oesophageal reflux disease,4194,44943,792,77,1.723966428,1.02E-13,Cardiovascular,Gastrointestinal,-1,215,500,1,6.93E-14
I67,M79,I67 Other cerebrovascular diseases,"M79 Other soft tissue disorders, not elsewhere classified",4194,18612,492,45,2.5860549,1.09E-14,Cardiovascular,Muscular,0,178,269,1,0.021186914
I67,M47,I67 Other cerebrovascular diseases,M47 Spondylosis,4194,11974,390,94,3.18633207,0,Cardiovascular,Spine,0,109,187,1,0.805320434
I67,L89,I67 Other cerebrovascular diseases,L89 Decubitus ulcer,4194,1769,178,26,9.843688243,0,Cardiovascular,Dermatological,0,100,52,0.057615976,0.999999994
I50,I67,I50 Heart failure,I67 Other cerebrovascular diseases,8926,4194,550,105,6.027975637,0,Cardiovascular,Cardiovascular,0,219,226,0.999999334,0.999988432
F05,I67,"F05 Delirium, not induced by alcohol and other psychoactive substances",I67 Other cerebrovascular diseases,1557,4194,231,67,14.5140645,3.44E-15,Psychiatric,Cardiovascular,0,45,119,1,0.34655064
I67,I95,I67 Other cerebrovascular diseases,I95 Hypotension,4194,8464,488,96,5.640399283,2.38E-14,Cardiovascular,Cardiovascular,0,196,196,0.999994708,0.999994708
G95,I67,G95 Other diseases of spinal cord,I67 Other cerebrovascular diseases,904,4194,51,10,5.519089375,1.44E-15,Neurological,Cardiovascular,0,26,15,0.5,0.999115401
I61,I67,I61 Intracerebral haemorrhage,I67 Other cerebrovascular diseases,1130,4194,218,73,18.87312132,0,Cardiovascular,Cardiovascular,0,90,55,0.995945725,1
E03,I67,E03 Other hypothyroidism,I67 Other cerebrovascular diseases,20958,4194,420,58,1.960492277,2.24E-14,Endocrine,Cardiovascular,1,269,93,4.57E-09,1
D32,I67,D32 Benign neoplasm of meninges,I67 Other cerebrovascular diseases,735,4194,40,15,5.324003517,0,Neoplasm,Cardiovascular,0,15,10,0.959654766,0.999660226
I67,K57,I67 Other cerebrovascular diseases,K57 Diverticular disease of intestine,4194,41136,744,55,1.769361437,0,Cardiovascular,Gastrointestinal,-1,233,456,1,3.92E-10
B96,I67,B96 Other bacterial agents as the cause of diseases classified to other chapters,I67 Other cerebrovascular diseases,13036,4194,610,81,4.577740443,0,Infectious,Cardiovascular,0,292,237,0.862852903,0.999999987
G50,I67,G50 Disorders of trigeminal nerve,I67 Other cerebrovascular diseases,686,4194,35,7,4.991253297,4.44E-14,Neurological,Cardiovascular,0,16,12,0.750220083,0.979520204
