GenAge ID,symbol,name,organism,entrez gene id,avg lifespan change (max obsv),lifespan effect,longevity influence
532,RAD50,"Subunit of MRX complex, with Mre11p and Xrs2p",Saccharomyces cerevisiae,855471,70,Decrease,Unannotated
533,RAD51,Strand exchange protein,Saccharomyces cerevisiae,856831,40,Decrease,Unannotated
534,RAD52,"RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)",Saccharomyces cerevisiae,854976,70,Decrease,Unannotated
535,RAD57,Rad57p,Saccharomyces cerevisiae,851567,40,Decrease,Unannotated
536,RAD9,Rad9p,Saccharomyces cerevisiae,851803,50,Decrease,Unannotated
537,Rae1,RAE1 RNA export 1 homolog (S. pombe),Mus musculus,66679,,Decrease,Pro-Longevity
538,ral-1,RAL (Ras-related GTPase) homolog,Caenorhabditis elegans,175433,19,Increase,Anti-Longevity
539,RAS1,GTPase involved in G-protein signaling in the adenylate cyclase activating pathway,Saccharomyces cerevisiae,854268,23,Increase,Anti-Longevity
540,RAS2,"GTP-binding protein that regulates the nitrogen starvation response, sporulation, and filamentous gr",Saccharomyces cerevisiae,855625,43,Increase,Unclear
541,rb,ruby,Drosophila melanogaster,31381,,Decrease,Pro-Longevity
542,rcq-5,ReCQ DNA helicase family,Caenorhabditis elegans,175522,37,Decrease,Pro-Longevity
543,Rdh,CG14975-PA,Drosophila melanogaster,2769007,8,Increase,Pro-Longevity
544,REI1,Cytoplasmic pre-60S factor,Saccharomyces cerevisiae,852569,40,Increase,Anti-Longevity
545,rha-2,RNA HelicAse,Caenorhabditis elegans,176207,32,Increase,Anti-Longevity
546,rhi-1,RHo GDI,Caenorhabditis elegans,180721,,Decrease,Pro-Longevity
547,rho-7,rhomboid-7,Drosophila melanogaster,36281,,Decrease,Pro-Longevity
548,ric-4,Resistance to Inhibitors of Cholinesterase,Caenorhabditis elegans,179427,,Decrease,Anti-Longevity
549,ril-1,RNAi-Induced Longevity,Caenorhabditis elegans,179958,32,Increase,Anti-Longevity
550,ril-2,RNAi-Induced Longevity,Caenorhabditis elegans,179725,,Increase,Anti-Longevity
551,RIM15,Regulator of IME2,Saccharomyces cerevisiae,850511,,Decrease,Unannotated
552,rle-1,Regulation of Longevity by E3 ubiquitin ligase,Caenorhabditis elegans,176525,,Increase,Anti-Longevity
553,rnf-5,RiNg Finger protein,Caenorhabditis elegans,175532,,Increase,Anti-Longevity
554,ROM2,GDP/GTP exchange protein (GEP) for Rho1p and Rho2p,Saccharomyces cerevisiae,851086,50,Increase,Anti-Longevity
555,RPD3,Histone deacetylase,Saccharomyces cerevisiae,855386,41,Increase,Anti-Longevity
556,Rpd3,CG7471-PA,Drosophila melanogaster,38565,52,Increase,Anti-Longevity
557,rpl-19,"Ribosomal Protein, Large subunit",Caenorhabditis elegans,172201,,Increase,Anti-Longevity
558,rpl-30,"Ribosomal Protein, Large subunit",Caenorhabditis elegans,172921,13,Increase,Anti-Longevity
559,rpl-4,"Ribosomal Protein, Large subunit",Caenorhabditis elegans,172074,,Increase,Anti-Longevity
560,rpl-9,"Ribosomal Protein, Large subunit",Caenorhabditis elegans,176071,,Increase,Anti-Longevity
561,RPL10,ribosomal 60S subunit protein L10,Saccharomyces cerevisiae,850764,24,Increase,Anti-Longevity
562,RPL31A,ribosomal 60S subunit protein L31A,Saccharomyces cerevisiae,851484,,Increase and Decrease,Anti-Longevity
563,RPL6B,ribosomal 60S subunit protein L6B,Saccharomyces cerevisiae,851169,40,Increase,Anti-Longevity
564,RPO41,Rpo41p,Saccharomyces cerevisiae,850507,,Decrease,Unannotated
565,rps-10,"Ribosomal Protein, Small subunit",Caenorhabditis elegans,172061,,Increase,Anti-Longevity
566,rps-11,"Ribosomal Protein, Small subunit",Caenorhabditis elegans,178083,29.79999924,Increase,Anti-Longevity
567,rps-15,"Ribosomal Protein, Small subunit",Caenorhabditis elegans,172693,50,Increase,Anti-Longevity
568,rps-22,"Ribosomal Protein, Small subunit",Caenorhabditis elegans,175338,,Increase,Anti-Longevity
569,rps-23,"Ribosomal Protein, Small subunit",Caenorhabditis elegans,178188,126,Increase,Anti-Longevity
570,rps-26,"Ribosomal Protein, Small subunit",Caenorhabditis elegans,173342,,Increase,Anti-Longevity
571,rps-3,"Ribosomal Protein, Small subunit",Caenorhabditis elegans,175879,32,Increase,Anti-Longevity
572,rps-5,"Ribosomal Protein, Small subunit",Caenorhabditis elegans,178012,75,Increase,Anti-Longevity
573,rps-6,"Ribosomal Protein, Small subunit",Caenorhabditis elegans,173260,,Increase,Anti-Longevity
574,rps-8,"Ribosomal Protein, Small subunit",Caenorhabditis elegans,177503,18,Increase,Anti-Longevity
575,RPS18A,ribosomal 40S subunit protein S18A,Saccharomyces cerevisiae,852061,15,Increase,Anti-Longevity
576,RPS18B,ribosomal 40S subunit protein S18B,Saccharomyces cerevisiae,854982,15,Increase,Anti-Longevity
577,RPS6B,ribosomal 40S subunit protein S6B,Saccharomyces cerevisiae,852479,45,Increase,Anti-Longevity
578,rsks-1,RSK-pSeventy (RSK-p70 kinase) homolog,Caenorhabditis elegans,176554,47,Increase,Anti-Longevity
579,rsr-2,SR protein related,Caenorhabditis elegans,174862,,Decrease,Pro-Longevity
580,RTG3,Rtg3p,Saccharomyces cerevisiae,852171,,Increase,Anti-Longevity
581,rut,rutabaga,Drosophila melanogaster,32406,,Decrease,Pro-Longevity
582,ry,rosy,Drosophila melanogaster,41605,,Decrease,Pro-Longevity
583,S6k,RPS6-p70-protein kinase,Drosophila melanogaster,38654,,Increase,Anti-Longevity
584,sams-1,S-Adenosyl Methionine Synthetase,Caenorhabditis elegans,181370,15,Increase,Anti-Longevity
585,sas-5,Spindle ASsembly abnormal,Caenorhabditis elegans,179592,30,Increase,Anti-Longevity
586,sbt-1,Seven B Two (mammalian 7BT prohormone convertase chaperone) homolog,Caenorhabditis elegans,180366,,Decrease,Pro-Longevity
587,sca-1,SERCA (Sarco-Endoplasmic Reticulum Calcium ATPase),Caenorhabditis elegans,176512,18.60000038,Increase,Anti-Longevity
588,scd-2,Suppressor of Constitutive Dauer formation,Caenorhabditis elegans,179054,,Decrease,Pro-Longevity
589,Scgdelta,Sarcoglycan delta,Drosophila melanogaster,31129,30,Decrease,Pro-Longevity
590,SCH9,Protein kinase that regulates signal transduction activity and G1 progression,Saccharomyces cerevisiae,856612,300,Increase,Anti-Longevity
591,scl-1,SCP-Like extracellular protein,Caenorhabditis elegans,186053,,Decrease,Pro-Longevity
592,SCP1,Scp1p,Saccharomyces cerevisiae,854549,65,Increase,Anti-Longevity
593,SdhB,Succinate dehydrogenase B,Drosophila melanogaster,35590,66,Decrease,Pro-Longevity
594,SdhC,"succinate dehydrogenase, cytochrome b556 subunit",Drosophila melanogaster,41340,22,Decrease,Pro-Longevity
595,sel-5,Suppressor/Enhancer of Lin-12,Caenorhabditis elegans,175599,29,Increase,Anti-Longevity
596,sem-5,SEx Muscle abnormal,Caenorhabditis elegans,181055,24,Increase,Anti-Longevity
597,ser-1,SERotonin/octopamine receptor family,Caenorhabditis elegans,181716,46,Increase,Anti-Longevity
598,ser-4,SERotonin/octopamine receptor family,Caenorhabditis elegans,175322,,Decrease,Pro-Longevity
599,sgk-1,Serum- and Glucocorticoid- inducible kinase homolog,Caenorhabditis elegans,181697,,Increase,Anti-Longevity
600,SGS1,Sgs1p,Saccharomyces cerevisiae,855228,30,Decrease,Pro-Longevity
601,Shc1,SHC (Src homology 2 domain containing) transforming protein 1,Mus musculus,20416,30,Increase,Anti-Longevity
602,sinh-1,SIN-1 (S. pombe stress activated protein kinase interactor) Homolog,Caenorhabditis elegans,190339,,Increase,Anti-Longevity
603,SIP2,Sip2p,Saccharomyces cerevisiae,852664,,Increase and Decrease,Unclear
604,sir-2.1,Yeast SIR related (68.8 kD) (sir-2.1),Caenorhabditis elegans,177924,,Increase and Decrease,Pro-Longevity
605,Sir2,CG5216-PA,Drosophila melanogaster,34708,,Increase and Decrease,Pro-Longevity
606,SIR2,Sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae),Saccharomyces cerevisiae,851520,600,Increase,Unclear
607,SIR3,Silent information regulator,Saccharomyces cerevisiae,851163,20,Decrease,Unannotated
608,SIR4,Silent information regulator,Saccharomyces cerevisiae,851813,,Increase and Decrease,Anti-Longevity
609,Sirt2,CG5085-PA,Drosophila melanogaster,42414,20,Decrease,Pro-Longevity
610,Sirt6,"sirtuin 6 (silent mating type information regulation 2, homolog) 6 (S. cerevisiae)",Mus musculus,50721,,Increase and Decrease,Pro-Longevity
611,Sirt6,CG6284-PB,Drosophila melanogaster,41254,20,Decrease,Pro-Longevity
612,skn-1,SKiNhead,Caenorhabditis elegans,177343,,Increase and Decrease,Pro-Longevity
613,skr-1,SKp1 Related (ubiquitin ligase complex component),Caenorhabditis elegans,172775,,Decrease,Pro-Longevity
614,skr-2,SKp1 Related (ubiquitin ligase complex component),Caenorhabditis elegans,172773,,Decrease,Pro-Longevity
615,Slc25a4,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4",Mus musculus,11739,,Decrease,Pro-Longevity
616,smk-1,suppressor of MEK null,Caenorhabditis elegans,179243,21,Decrease,Pro-Longevity
617,smn-1,SMN (human Survival Motor Neuron gene) homolog,Caenorhabditis elegans,172783,26,Decrease,Pro-Longevity
618,SNCA,"synuclein, alpha (non A4 component of amyloid precursor)",Caenorhabditis elegans,,25,Increase,Pro-Longevity
619,SNF1,AMP-activated serine/threonine protein kinase,Saccharomyces cerevisiae,852088,,Increase and Decrease,Anti-Longevity
620,SNF4,Protein kinase activator found in a complex containing Snf1p and members of the Sip1p/Sip2p/Gal83p f,Saccharomyces cerevisiae,852763,20,Increase,Anti-Longevity
621,SOD1,"Cu, Zn superoxide dismutase",Saccharomyces cerevisiae,853568,,Increase and Decrease,Pro-Longevity
622,Sod,Superoxide dismutase,Drosophila melanogaster,39251,,Increase and Decrease,Pro-Longevity
623,SOD2,Manganese-containing superoxide dismutase,Saccharomyces cerevisiae,856399,,Increase and Decrease,Pro-Longevity
624,Sod2,Superoxide dismutase 2 (Mn),Drosophila melanogaster,36878,,Increase and Decrease,Pro-Longevity
625,spe-26,Defective SPErmatogenesis,Caenorhabditis elegans,177929,65,Increase,Anti-Longevity
626,spl-1,Sphingosine Phosphate Lyase,Caenorhabditis elegans,176857,22,Decrease,Pro-Longevity
627,spt-4,SPT transcription factor family,Caenorhabditis elegans,175172,,Increase,Anti-Longevity
628,sru-17,"Serpentine Receptor, class U",Caenorhabditis elegans,188048,,Increase,Anti-Longevity
629,srw-100,"Serpentine Receptor, class W",Caenorhabditis elegans,189964,,Increase,Anti-Longevity
630,srw-20,"Serpentine Receptor, class W",Caenorhabditis elegans,188136,,Increase,Anti-Longevity
631,srw-99,"Serpentine Receptor, class W",Caenorhabditis elegans,189965,,Increase,Anti-Longevity
632,SSD1,Ssd1p,Saccharomyces cerevisiae,851887,,Increase and Decrease,Unclear
633,Stub1,STIP1 homology and U-Box containing protein 1,Mus musculus,56424,,Decrease,Pro-Longevity
634,sug,sugarbabe,Drosophila melanogaster,36424,9,Increase,Pro-Longevity
635,sun,Stunted,Drosophila melanogaster,44046,,Increase,Anti-Longevity
636,Surf1,surfeit gene 1,Drosophila melanogaster,44498,,Increase,Anti-Longevity
637,Surf1,surfeit gene 1,Mus musculus,20930,20,Increase,Anti-Longevity
638,syd-2,SYnapse Defective,Caenorhabditis elegans,181255,,Decrease,Pro-Longevity
639,T02H6.11,Protein T02H6.11,Caenorhabditis elegans,173459,60,Increase,Anti-Longevity
640,him-6,High Incidence of Males (increased X chromosome loss),Caenorhabditis elegans,178201,,Decrease,Pro-Longevity
641,T05A1.5,T05A1.5b,Caenorhabditis elegans,188077,20,Increase,Anti-Longevity
642,CELE_T06G6.4,Protein T06G6.4,Caenorhabditis elegans,173140,,Increase,Anti-Longevity
643,T07A9.8,Protein T07A9.8,Caenorhabditis elegans,176864,24,Increase,Anti-Longevity
644,cec-3,Protein CEC-3,Caenorhabditis elegans,174265,,Increase,Anti-Longevity
645,T19B10.2,Protein T19B10.2,Caenorhabditis elegans,179551,34,Decrease,Pro-Longevity
646,T20H4.5,Protein T20H4.5,Caenorhabditis elegans,176023,51,Increase,Anti-Longevity
647,mrpl-50,Protein MRPL-50,Caenorhabditis elegans,174422,17,Increase,Anti-Longevity
648,hlb-1,Protein HLB-1,Caenorhabditis elegans,181499,,Decrease,Pro-Longevity
649,bus-4,Protein BUS-4,Caenorhabditis elegans,188726,10,Decrease,Pro-Longevity
650,ogdh-1,Protein OGDH-1,Caenorhabditis elegans,177235,79,Increase,Anti-Longevity
651,rab-10,RAB family,Caenorhabditis elegans,266836,16,Increase,Anti-Longevity
652,T27F7.1,Protein T27F7.1,Caenorhabditis elegans,173863,34,Decrease,Pro-Longevity
653,eif-1,Protein EIF-1,Caenorhabditis elegans,266853,25,Increase,Anti-Longevity
654,T28A8.6,Protein T28A8.6,Caenorhabditis elegans,176780,28,Increase,Anti-Longevity
655,T28D6.4,Protein T28D6.4,Caenorhabditis elegans,176566,33,Increase,Anti-Longevity
656,tag-174,Temporarily Assigned Gene name,Caenorhabditis elegans,175693,25,Increase,Anti-Longevity
657,abcx-1,"ABC transporter, eXtended",Caenorhabditis elegans,183860,16,Increase,Anti-Longevity
658,wts-1,WarTS (Drosophila) protein kinase homolog,Caenorhabditis elegans,172896,21,Increase,Anti-Longevity
659,tes-1,Temporarily Assigned Gene name,Caenorhabditis elegans,177515,60,Increase,Anti-Longevity
660,bus-8,Bacterially Un-Swollen (M. nematophilum resistant),Caenorhabditis elegans,180821,58,Decrease,Pro-Longevity
661,mrps-30,Temporarily Assigned Gene name,Caenorhabditis elegans,172957,21,Increase,Anti-Longevity
662,spe-5,Temporarily Assigned Gene name,Caenorhabditis elegans,172137,23,Increase,Anti-Longevity
663,vps-36,VPS-36,Caenorhabditis elegans,179520,27,Decrease,Pro-Longevity
664,bet-1,BET-1,Caenorhabditis elegans,172054,,Decrease,Pro-Longevity
665,mpz-2,Temporarily Assigned Gene name,Caenorhabditis elegans,177736,,Increase,Anti-Longevity
666,ant-1.1,Adenine Nucleotide Translocator,Caenorhabditis elegans,176773,40,Increase,Anti-Longevity
667,nduf-2.2,NADH Ubiquinone oxidoreductase Fe-S protein,Caenorhabditis elegans,188912,20,Increase,Anti-Longevity
668,tax-4,abnormal CHEmotaxis,Caenorhabditis elegans,176297,100,Increase,Anti-Longevity
669,tax-6,abnormal CHEmotaxis,Caenorhabditis elegans,177943,27,Increase,Anti-Longevity
670,tba-7,"TuBulin, Alpha",Caenorhabditis elegans,176568,13,Increase,Anti-Longevity
671,Terf2,telomeric repeat binding factor 2,Mus musculus,21750,,Decrease,Anti-Longevity
672,Tert,Telomerase reverse transcriptase,Mus musculus,21752,,Increase,Pro-Longevity
673,old-1,Overexpression Longevity Determinant,Caenorhabditis elegans,191737,65,Increase,Pro-Longevity
674,TLC1,telomerase_RNA,Saccharomyces cerevisiae,9164870,,Increase and Decrease,Pro-Longevity
675,tlf-1,TBP-Like Factor,Caenorhabditis elegans,172676,33,Decrease,Pro-Longevity
676,top-1,TOPoisomerase,Caenorhabditis elegans,266847,19,Decrease,Pro-Longevity
677,Top3b,Topoisomerase (DNA) III beta,Mus musculus,21976,,Decrease,Pro-Longevity
678,Tor,Target of rapamycin,Drosophila melanogaster,47396,,Increase,Anti-Longevity
679,TOR1,PIK-related protein kinase and rapamycin target,Saccharomyces cerevisiae,853529,30,Increase,Anti-Longevity
680,tpa-1,TPA (tetradecanoyl phorbol acetate) resistant,Caenorhabditis elegans,176825,28,Increase,Anti-Longevity
681,TPK2,Tpk2p,Saccharomyces cerevisiae,855898,25,Increase,Anti-Longevity
682,Trp53,Transformation related protein 53,Mus musculus,22059,23,Decrease,Pro-Longevity
683,Trp63,Transformation related protein 63,Mus musculus,22061,70,Decrease,Pro-Longevity
684,tars-1,Threonyl Amino-acyl tRNA Synthetase,Caenorhabditis elegans,174790,12,Increase,Anti-Longevity
685,Trx-2,thioredoxin-2,Drosophila melanogaster,34281,,Decrease,Pro-Longevity
686,TrxT,Thioredoxin T,Drosophila melanogaster,31443,15,Increase,Pro-Longevity
687,Tsc1,CG6147-PA Tuberous sclerosis complex genes 1,Drosophila melanogaster,42862,,Increase,Pro-Longevity
688,ttr-1,TransThyretin-Related family domain,Caenorhabditis elegans,186958,19,Increase,Anti-Longevity
689,tub-1,TUBby-related,Caenorhabditis elegans,174312,,Increase,Anti-Longevity
690,tufm-1,"TU elongation Factor (EF-Tu), Mitochondrial",Caenorhabditis elegans,175398,89,Increase,Anti-Longevity
691,Txn1,Thioredoxin 1,Mus musculus,22166,35,Increase,Pro-Longevity
692,ubc-13,UBiquitin Conjugating enzyme,Caenorhabditis elegans,177073,,Decrease,Pro-Longevity
693,ubh-1,UBiquitin C-terminal Hydrolase (family 1),Caenorhabditis elegans,179039,,Decrease,Pro-Longevity
694,ubh-3,UBiquitin C-terminal Hydrolase (family 1),Caenorhabditis elegans,259626,,Decrease,Pro-Longevity
695,UCP2,"uncoupling protein 2 (mitochondrial, proton carrier)",Drosophila melanogaster,7351,30,Increase,Pro-Longevity
696,Ucp2,"uncoupling protein 2 (mitochondrial, proton carrier)",Mus musculus,22228,20,Increase,Pro-Longevity
697,ucr-1,Ubiquinol-Cytochrome c oxidoReductase complex,Caenorhabditis elegans,175772,110,Increase,Anti-Longevity
698,ufd-1,Ubiquitin Fusion Degradation (yeast UFD homolog),Caenorhabditis elegans,3565860,64,Decrease,Pro-Longevity
699,ulp-1,Ubiquitin-Like Protease,Caenorhabditis elegans,175704,22,Decrease,Pro-Longevity
700,UMP1,Ump1p,Saccharomyces cerevisiae,852471,,Increase and Decrease,Pro-Longevity
701,unc-10,UNCoordinated,Caenorhabditis elegans,180990,,Decrease,Anti-Longevity
702,unc-13,UNCoordinated,Caenorhabditis elegans,172497,150,Increase,Anti-Longevity
703,unc-26,UNCoordinated,Caenorhabditis elegans,178284,50,Increase,Anti-Longevity
704,unc-31,UNCoordinated,Caenorhabditis elegans,178233,150,Increase,Anti-Longevity
705,unc-32,UNCoordinated,Caenorhabditis elegans,176257,,Increase,Anti-Longevity
706,unc-4,UNCoordinated,Caenorhabditis elegans,174544,100,Increase,Unannotated
707,unc-52,UNCoordinated,Caenorhabditis elegans,175126,11,Increase,Anti-Longevity
708,unc-60,UNCoordinated,Caenorhabditis elegans,178640,,Decrease,Pro-Longevity
709,unc-62,UNCoordinated,Caenorhabditis elegans,178845,38,Increase,Anti-Longevity
710,unc-64,UNCoordinated,Caenorhabditis elegans,176743,,Increase,Unannotated
711,unc-76,UNCoordinated,Caenorhabditis elegans,180014,50,Increase,Unannotated
712,unc-83,UNCoordinated,Caenorhabditis elegans,179033,,Increase,Anti-Longevity
713,URE2,Ure2p,Saccharomyces cerevisiae,855492,20,Increase,Anti-Longevity
714,UTH1,Uth1p,Saccharomyces cerevisiae,853916,15,Increase,Anti-Longevity
715,vha-6,Vacuolar H ATPase,Caenorhabditis elegans,174743,24,Increase,Anti-Longevity
716,VhaSFD,Vacuolar H+-ATPase SFD subunit,Drosophila melanogaster,34997,10,Increase,Pro-Longevity
717,vit-5,VITellogenin structural genes (yolk protein genes),Caenorhabditis elegans,180630,,Increase,Anti-Longevity
718,vit-2,VITellogenin structural genes (yolk protein genes),Caenorhabditis elegans,180781,,Increase,Anti-Longevity
719,vps-16,related to yeast Vacuolar Protein Sorting factor,Caenorhabditis elegans,175913,21,Decrease,Pro-Longevity
720,vps-33.1,Vacuolar sorting protein,Caenorhabditis elegans,176221,15,Decrease,Pro-Longevity
721,vrk-1,Vaccinia Related Kinase,Caenorhabditis elegans,174004,36,Decrease,Pro-Longevity
722,nol-5,NucleOLar protein,Caenorhabditis elegans,171901,15,Increase,Anti-Longevity
723,W03G1.5,Protein W03G1.5,Caenorhabditis elegans,189167,54,Increase,Anti-Longevity
724,lpr-5,Protein LPR-5,Caenorhabditis elegans,181297,16,Decrease,Pro-Longevity
725,dct-11,"DAF-16/FOXO Controlled, germline Tumor affecting",Caenorhabditis elegans,189237,10,Decrease,Pro-Longevity
726,sbds-1,Shwachman-Bodian-Diamond Syndrome protein homolog,Caenorhabditis elegans,175218,,Decrease,Pro-Longevity
727,nol-1,NucleOLar protein,Caenorhabditis elegans,173437,31,Increase,Anti-Longevity
728,dct-15,"DAF-16/FOXO Controlled, germline Tumor affecting",Caenorhabditis elegans,189289,10,Increase,Anti-Longevity
729,CELE_W09C5.8,Protein W09C5.8,Caenorhabditis elegans,173237,100,Increase,Anti-Longevity
730,mrpl-12,Protein MRPL-12,Caenorhabditis elegans,176495,51,Increase,Anti-Longevity
731,mecr-1,Protein MECR-1,Caenorhabditis elegans,174963,,Increase,Anti-Longevity
732,wip-1,Wiskott-Aldrich syndrome protein (WASP)-Interacting Protein and gene assignment,Caenorhabditis elegans,175681,,Decrease,Pro-Longevity
733,wwp-1,WW domain Protein (E3 ubiquitin ligase),Caenorhabditis elegans,171647,,Increase and Decrease,Pro-Longevity
734,Xpa,"Xeroderma pigmentosum, complementation group A",Mus musculus,22590,,Decrease,Pro-Longevity
735,Xrcc5,X-ray repair complementing defective repair in Chinese hamster cells 5,Mus musculus,22596,40,Decrease,Pro-Longevity
736,Xrcc6,X-ray repair complementing defective repair in Chinese hamster cells 6,Mus musculus,14375,,Decrease,Pro-Longevity
737,sams-2,,Caenorhabditis elegans,178446,27,Increase,Anti-Longevity
738,dct-13,"DAF-16/FOXO Controlled, germline Tumor affecting",Caenorhabditis elegans,178476,23,Increase,Anti-Longevity
739,Y37D8A.12,Protein Y37D8A.12,Caenorhabditis elegans,176705,,Increase,Anti-Longevity
740,mrps-10,Protein MRPS-10,Caenorhabditis elegans,189618,39,Increase,Anti-Longevity
741,pnc-1,Pyrazinamidase and NiCotinamidase,Caenorhabditis elegans,176833,,Decrease,Pro-Longevity
742,dct-14,"DAF-16/FOXO Controlled, germline Tumor affecting",Caenorhabditis elegans,189684,19,Increase,Anti-Longevity
743,CELE_Y39F10C.1,Protein Y39F10C.1,Caenorhabditis elegans,189761,,Increase,Anti-Longevity
744,CELE_Y39G10AR.8,Protein Y39G10AR.8,Caenorhabditis elegans,171792,24,Increase,Anti-Longevity
745,Y39H10A.6,Protein Y39H10A.6,Caenorhabditis elegans,178791,,Increase,Anti-Longevity
746,mvk-1,Y42G9A.4b,Caenorhabditis elegans,175863,14,Decrease,Pro-Longevity
747,Y43F4B.7,Protein Y43F4B.7,Caenorhabditis elegans,259544,11,Increase,Anti-Longevity
748,CELE_Y43F8B.12,Protein Y43F8B.12,Caenorhabditis elegans,189875,,Increase,Anti-Longevity
749,Y43H11AL.2,Protein Y43H11AL.2,Caenorhabditis elegans,3565323,,Increase,Anti-Longevity
750,Y46G5A.6,,Caenorhabditis elegans,189958,,Decrease,Pro-Longevity
751,Y46H3C.6,Protein Y46H3C.6,Caenorhabditis elegans,189968,,Increase,Anti-Longevity
752,aakb-2,AMP-Activated Kinase Beta subunit,Caenorhabditis elegans,176552,,Decrease,Pro-Longevity
753,spg-7,human SPG (spastic paraplegia),Caenorhabditis elegans,171915,23,Increase,Anti-Longevity
754,CELE_Y47G6A.18,Protein Y47G6A.18,Caenorhabditis elegans,171919,,Decrease,Pro-Longevity
755,Y48G1A.4,Protein Y48G1A.4,Caenorhabditis elegans,171622,21,Increase,Anti-Longevity
756,CELE_Y53F4B.23,Protein Y53F4B.23,Caenorhabditis elegans,190220,,Increase,Anti-Longevity
757,CELE_Y54E10BR.4,Protein Y54E10BR.4,Caenorhabditis elegans,171874,15,Increase,Anti-Longevity
758,Y54E5A.7,Protein Y54E5A.7,Caenorhabditis elegans,173332,,Increase,Anti-Longevity
759,Y55F3AM.3,Protein Y55F3AM.3,Caenorhabditis elegans,176922,9,Decrease,Pro-Longevity
760,Y56A3A.19,Protein Y56A3A.19,Caenorhabditis elegans,176622,37,Increase,Anti-Longevity
761,Y56A3A.9,Y56A3A.9,Caenorhabditis elegans,190326,,Increase,Anti-Longevity
762,dct-12,"DAF-16/FOXO Controlled, germline Tumor affecting",Caenorhabditis elegans,190351,14,Increase,Anti-Longevity
763,E01B7.1,Protein E01B7.1,Caenorhabditis elegans,180175,,Decrease,Pro-Longevity
764,vps-20,Protein VPS-20,Caenorhabditis elegans,171654,,Decrease,Pro-Longevity
765,Y65B4BR.5,Protein Y65B4BR.5,Caenorhabditis elegans,171646,17,Increase,Anti-Longevity
766,fbxa-220,F-box A protein,Caenorhabditis elegans,190489,25,Increase,Anti-Longevity
767,CELE_Y69A2AR.19,Protein Y69A2AR.19,Caenorhabditis elegans,177036,19,Increase,Anti-Longevity
768,pghm-1,Protein PGHM-1,Caenorhabditis elegans,171746,,Increase,Anti-Longevity
769,Y71H2AR.2,Protein Y71H2AR.2,Caenorhabditis elegans,190615,,Increase,Anti-Longevity
770,CELE_Y75B8A.13,Protein Y75B8A.13,Caenorhabditis elegans,176648,,Increase,Anti-Longevity
771,CELE_Y75B8A.33,Protein Y75B8A.33,Caenorhabditis elegans,190713,,Increase,Anti-Longevity
772,acs-5,fatty Acid CoA Synthetase family,Caenorhabditis elegans,176785,52,Increase,Anti-Longevity
773,Y77E11A.7,Y77E11A.7b,Caenorhabditis elegans,176951,24,Decrease,Pro-Longevity
774,YBR238C,hypothetical protein,Saccharomyces cerevisiae,852540,30,Increase,Anti-Longevity
775,MTC4,Mtc4p,Saccharomyces cerevisiae,852557,,Increase and Decrease,Anti-Longevity
776,YKU70,Subunit of the telomeric Ku complex (Yku70p-Yku80p),Saccharomyces cerevisiae,855328,,Decrease,Unannotated
777,YKU80,Subunit of the telomeric Ku complex (Yku70p-Yku80p),Saccharomyces cerevisiae,855132,,Decrease,Unannotated
778,yars-1,YARS-1,Caenorhabditis elegans,177237,55,Increase,Anti-Longevity
779,ZC132.3,Protein ZC132.3,Caenorhabditis elegans,178827,26,Increase,Anti-Longevity
780,nstp-3,Protein NSTP-3,Caenorhabditis elegans,191128,29,Decrease,Pro-Longevity
781,ZDS1,Zds1p,Saccharomyces cerevisiae,855316,37,Increase,Anti-Longevity
782,zfp-1,Zinc Finger Protein,Caenorhabditis elegans,176237,,Decrease,Pro-Longevity
783,ZK1127.5,Protein ZK1127.5,Caenorhabditis elegans,174151,24,Increase,Anti-Longevity
784,scl-20,SCP-Like extracellular protein,Caenorhabditis elegans,191309,18,Decrease,Pro-Longevity
785,sid-2,Systemic RNA Interference Defective,Caenorhabditis elegans,176805,,Increase,Anti-Longevity
786,ZK686.2,Protein ZK686.2,Caenorhabditis elegans,176088,24,Increase,Anti-Longevity
787,ZK809.3,Protein ZK809.3,Caenorhabditis elegans,178096,100,Increase,Anti-Longevity
788,clec-186,C-type LECtin,Caenorhabditis elegans,178238,,Increase,Anti-Longevity
789,Zmpste24,"zinc metallopeptidase, STE24 homolog (S. cerevisiae)",Mus musculus,230709,,Decrease,Pro-Longevity
811,Agtr1a,"Angiotensin II receptor, type 1a",Mus musculus,11607,26,Increase,Anti-Longevity
812,Apoe,Apolipoprotein E,Mus musculus,11816,,Decrease,Pro-Longevity
813,Cisd2,CDGSH iron sulfur domain 2,Mus musculus,67006,,Increase and Decrease,Pro-Longevity
814,Clock,Circadian locomotor output cycles kaput,Mus musculus,12753,15,Decrease,Pro-Longevity
815,Dmd,"Dystrophin, muscular dystrophy",Mus musculus,13405,18,Decrease,Pro-Longevity
816,Eef1e1,Eukaryotic translation elongation factor 1 epsilon 1,Mus musculus,66143,50,Decrease,Anti-Longevity
817,Eps8,Epidermal growth factor receptor pathway substrate 8,Mus musculus,13860,37,Increase,Anti-Longevity
818,Fn1,Fibronectin 1,Mus musculus,14268,,Decrease,Pro-Longevity
