diseaseId,diseaseName,specificDiseaseId,specificDiseaseName,n_gwas_studies,has_sumstats,n_variants,description
EFO_0002506,osteoarthritis,EFO_0004616,"osteoarthritis, knee",11,8,85,Knee osteoarthritis is a degenerative disease of the knee joint
EFO_0002506,osteoarthritis,EFO_1000786,"osteoarthritis, hip",15,9,112,"Osteoarthritis of the hip is also very common and can affect either one or both hips.
You’re most likely to feel pain deep at the front of your groin, but also at the side and front of your thigh, in your buttock or down to your knee (this is called radiated pain).
If you have severe hip osteoarthritis, you may find your affected leg seems a little shorter than the other because of the bone on either side of your joint being crunched up."
EFO_0002506,osteoarthritis,EFO_1000787,"osteoarthritis, spine",2,2,3,"Changes that affect the bones of your spine and the discs between the bones are often called spondylosis, but they’re very similar to the changes caused by osteoarthritis in other joints. X-rays show that spondylosis is extremely common, but it’s not the most common cause of back pain or neck pain and often doesn’t cause any problems at all."
EFO_0002506,osteoarthritis,EFO_1000789,"osteoarthritis, hand",1,0,1,"Osteoarthritis of the hands usually happens as part of nodal osteoarthritis (a form of osteoarthritis that runs in families). This mainly affects women and often starts in your 40s or 50s, around the menopause (the time when menstruation ends and it’s no longer possible to have children)."
EFO_0003882,osteoporosis,EFO_0003882,osteoporosis,8,4,20,"A condition of reduced bone mass, with decreased cortical thickness and a decrease in the number and size of the trabeculae of cancellous bone (but normal chemical composition), resulting in increased fracture incidence. Osteoporosis is classified as primary (Type 1, postmenopausal osteoporosis; Type 2, age-associated osteoporosis; and idiopathic, which can affect juveniles, premenopausal women, and middle-aged men) and secondary osteoporosis (which results from an identifiable cause of bone mass loss)."
EFO_0002508,Parkinson's disease,EFO_0002508,Parkinson's disease,21,2,244,"A neurodegenerative disease that results_from degeneration of the central nervous system that often impairs the sufferer's motor skills, speech, and other functions."
EFO_0000685,rheumatoid arthritis,EFO_0000685,rheumatoid arthritis,42,9,521,"A chronic systemic disease, primarily of the joints, marked by inflammatory changes in the synovial membranes and articular structures, widespread fibrinoid degeneration of the collagen fibers in mesenchymal tissues, and by atrophy and rarefaction of bony structures. Etiology is unknown, but autoimmune mechanisms have been implicated."
EFO_0000685,rheumatoid arthritis,EFO_0003898,ankylosing spondylitis,10,0,237,An autoimmune chronic inflammatory disorder characterized by inflammation in the vertebral joints of the spine and sacroiliac joints. It predominantly affects young males. Patients present with stiffness and pain in the spine.
EFO_0000685,rheumatoid arthritis,EFO_0009459,ACPA-positive rheumatoid arthritis,2,2,18,A subtype of rheumatoid arthritis defined by the presence of autoantibodies that are directed against citrullinated peptides and proteins.
EFO_1000653,sarcopenia,EFO_1000653,sarcopenia,,,,Progressive decline in muscle mass due to aging which results in decreased functional capacity of muscles.
EFO_0000712,stroke,EFO_0000712,stroke,24,9,111,"A sudden, nonconvulsive loss of neurologic function due to an ischemic or hemorrhagic intracranial vascular event. In general, cerebrovascular accidents are classified by anatomic location in the brain, vascular distribution, etiology, age of the affected individual, and hemorrhagic vs. nonhemorrhagic nature. (From Adams et al., Principles of Neurology, 6th ed, pp777-810)"
EFO_0000712,stroke,EFO_0005524,large artery stroke,9,1,33,stroke caused by the blockage of blood flow in one of the large arteries feeding the brain
EFO_0000712,stroke,EFO_1001504,small vessel stroke,4,0,4,stroke caused by the blockage of blood flow in one of the small blood vessels in the brain
EFO_0000712,stroke,EFO_1001976,cardioembolic stroke,7,1,20,stroke caused by the blockage of blood flow in a brain vessel through a clot or other foreign matters pumped from the heart to the brain
EFO_0001360,type II diabetes mellitus,EFO_0001360,type II diabetes mellitus,90,16,3062,A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.
